rsi_ob,rsi_os,initial_capital,final_equity,net_profit,return_pct,max_drawdown_pct,sharpe,trades,win_rate,gross_profit,gross_loss,profit_factor,avg_win,avg_loss
60,45,5000.0,9766.071784333331,4766.071784333331,95.32143568666662,37.068790493585915,0.3975230570584761,2048,71.2890625,48346.561883715396,43580.49009938207,1.1093625100007976,33.11408348199684,-74.11647976085386
60,35,5000.0,9576.431517223726,4576.431517223726,91.52863034447452,36.81777905807474,0.389001719800942,2039,71.40755272192251,47961.14512646374,43384.71360924004,1.10548488480166,32.94034692751631,-74.41631836919389
60,30,5000.0,9576.431517223726,4576.431517223726,91.52863034447452,36.81777905807474,0.389001719800942,2039,71.40755272192251,47961.14512646374,43384.71360924004,1.10548488480166,32.94034692751631,-74.41631836919389
60,40,5000.0,9409.637911139176,4409.637911139176,88.19275822278352,36.8177790580748,0.3807046237834641,2048,71.2890625,47073.6573819912,42664.019470852036,1.1033573012067421,32.242231083555616,-72.55785624294563
65,30,5000.0,9275.51770246994,4275.517702469941,85.51035404939881,37.130085783548004,0.38396332627620683,1519,68.72942725477287,49154.99676022472,44879.479057754776,1.0952666517578744,47.08333023010031,-94.48311380579953
65,35,5000.0,9275.51770246994,4275.517702469941,85.51035404939881,37.130085783548004,0.38396332627620683,1519,68.72942725477287,49154.99676022472,44879.479057754776,1.0952666517578744,47.08333023010031,-94.48311380579953
70,40,5000.0,9118.74389586965,4118.743895869649,82.37487791739298,36.701395472869095,0.36791352757835244,907,58.54465270121278,54225.25058957124,50106.506693701594,1.0821997813786401,102.11911598789311,-133.26198588750424
70,45,5000.0,8871.427147718392,3871.427147718392,77.42854295436784,36.70139547286924,0.3556782951695986,907,58.43439911797134,52729.57824725657,48858.15109953816,1.0792381017413286,99.48977027784258,-129.59721777065826
70,35,5000.0,8784.431374835496,3784.431374835496,75.68862749670993,36.70139547286918,0.35214021948484786,912,58.333333333333336,53123.25436378476,49338.82298894926,1.076702911532428,99.8557412853097,-129.83900786565593
70,30,5000.0,8784.431374835496,3784.431374835496,75.68862749670993,36.70139547286918,0.35214021948484786,912,58.333333333333336,53123.25436378476,49338.82298894926,1.076702911532428,99.8557412853097,-129.83900786565593
65,40,5000.0,8655.304235723257,3655.304235723257,73.10608471446514,37.13008578354806,0.3517592319525455,1501,68.48767488341106,46030.458393107445,42375.15415738419,1.0862605531096643,44.77671049913175,-89.58806375768327
65,45,5000.0,8582.760121014115,3582.7601210141147,71.6552024202823,37.13008578354802,0.3475011772904924,1506,68.52589641434263,45671.23259737957,42088.47247636544,1.0851244987098547,44.25507034629803,-88.79424573072878
75,30,5000.0,7666.1017107981925,2666.1017107981925,53.32203421596385,36.389845176252976,0.3003642403661622,515,46.019417475728154,28675.041229014514,26008.93951821632,1.1025071287097612,120.99173514352115,-93.55733639646158
75,35,5000.0,7666.1017107981925,2666.1017107981925,53.32203421596385,36.389845176252976,0.3003642403661622,515,46.019417475728154,28675.041229014514,26008.93951821632,1.1025071287097612,120.99173514352115,-93.55733639646158
90,45,5000.0,5928.297188694018,928.2971886940177,18.565943773880353,35.79187244533345,0.17181422068537275,312,44.230769230769226,17263.50983355364,16335.21264485961,1.0568279831353249,125.09789734459159,-93.8805324417219
