date_index,equity
0,5000.0
1,5000.0
2,5000.0
3,5000.0
4,5000.0
5,5000.0
6,5000.0
7,5000.0
8,5000.0
9,5000.0
10,5000.0
11,5000.0
12,5000.0
13,5000.0
14,5000.0
15,5010.122335063828
16,5044.988682994247
17,5017.870484220461
18,5018.583505442896
19,4980.9615254637465
20,5041.241639932567
21,5079.038536758783
22,5114.051240543675
23,5299.311977793356
24,5191.6419669545285
25,5189.082742712344
26,5197.753282513573
27,5218.9721230145
28,5271.559714326411
29,5266.429026056552
30,5228.8848401640635
31,5214.904657800729
32,5206.110476694668
33,5213.046419200038
34,5204.809855258026
35,5240.539364834425
36,5240.26397807944
37,5229.532098348375
38,5235.378956973843
39,5282.151999316156
40,5249.878749263583
41,5204.060782276062
42,5192.037169013745
43,5112.636001047489
44,5114.995577632294
45,5053.505491134494
46,5019.274154277501
47,5016.057001957175
48,4987.504707999191
49,4991.260750476367
50,4986.113929916937
51,5030.125367888237
52,5009.629499996108
53,5108.762351478016
54,5109.990979938881
55,5073.807754650518
56,4967.243729537278
57,4965.345017783928
58,4963.084051910078
59,5020.742576013496
60,5000.020984476818
61,4970.566887409492
62,4994.7753067424965
63,5058.679914446545
64,4995.4127234792695
65,5013.866949317954
66,5007.515763752049
67,5017.665250661636
68,4980.639042089019
69,5013.110118401505
70,5064.667322684816
71,5083.8988655982685
72,5029.917894259418
73,5048.208544526455
74,5000.274638522798
75,5019.91189343674
76,5083.558780256703
77,5095.766833134181
78,5108.066859346449
79,5030.123638659577
80,5047.647405561356
81,5002.377394333785
82,5063.315718682498
83,5073.042894494018
84,5012.172383398411
85,4992.258595302348
86,4979.288896109199
87,5039.784519523177
88,5016.483740450581
89,5009.954650235496
90,5015.84396299227
91,5028.717829918576
92,5055.379776315287
93,5072.66151118733
94,5043.848677910598
95,5009.79094248788
96,5000.4794800268155
97,4983.467799194627
98,4971.713810065431
99,4994.365486323429
100,4972.484610688094
101,4957.825903127213
102,4948.16111207768
103,4952.982613021794
104,4995.592209023692
105,4959.580962843416
106,4965.153001463965
107,4931.916385883314
108,4942.189684238911
109,4984.225656899691
110,5005.55950447147
111,4984.951303495765
112,4952.427200838755
113,4957.964598224362
114,4957.1034811118025
115,4998.206238393552
116,4985.999202364204
117,4993.72928364923
118,5019.590994469431
119,5008.033489331576
120,4985.175410376584
121,4995.498593160614
122,4863.10499398727
123,4907.637003980304
124,4935.481449591329
125,4911.67396461239
126,4897.44007080495
127,4908.505559344241
128,4855.789227874679
129,4862.910260974294
130,4935.929921159721
131,4965.919111741015
132,4961.989133600524
133,4950.987598764901
134,5027.814301781764
135,5079.246848536029
136,5059.663017227311
137,5028.7426800625335
138,5052.002346456974
139,4997.681161957727
140,5005.591861219894
141,4942.378406891983
142,4980.795418748704
143,5001.3711294336745
144,4983.275396582011
145,5042.794403205064
146,5031.324666101038
147,5026.854672166882
148,5056.934814614433
149,5045.653997160987
150,5046.33701165067
151,5087.77891311463
152,5091.477326497269
153,5063.551785932523
154,5064.606394922482
155,5078.144624170954
156,5143.526910788687
157,5126.375401325511
158,5061.488485072005
159,4988.559413902342
160,4694.476778408544
161,4604.316996908008
162,4556.179125109919
163,4658.997261652226
164,4749.92304119259
165,4741.873419693227
166,4704.326167288852
167,4593.488386600392
168,4650.755855777655
169,4711.94403214615
170,4677.846945666369
171,4789.424398970181
172,4730.905520095992
173,4700.508457223314
174,4714.877773953416
175,4725.703999960526
176,4761.306641987971
177,4789.397057864928
178,4806.823485320972
179,4693.740880615818
180,4694.123661687376
181,4637.792460759766
182,4621.359947762692
183,4560.072073142357
184,4528.980521670995
185,4362.197072721751
186,4360.021786348136
187,4384.347721443972
188,4358.098200809791
189,4391.672956719853
190,4431.352040234836
191,4396.959986277809
192,4387.719343711454
193,4435.574842049006
194,4410.435548433885
195,4446.096604462199
196,4424.903902509457
197,4418.882021367489
198,4477.282299757771
199,4483.054800461189
200,4501.434805975316
