ticker,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,entry_commission,exit_commission,net_pnl
CL,2015-01-30,2015-03-11,68.38417347335815,68.23586164474487,14.652870921999888,1002.0244670127656,999.8512729318896,1.0020244670127656,0.9998512729318897,-4.175069820820681
VZ,2015-02-09,2015-03-11,49.074524236679075,47.54621469497681,21.14041287823795,1037.4557041664907,1005.1466094491542,1.0374557041664907,1.0051466094491541,-34.351697030952096
AMD,2015-01-27,2015-03-12,2.5812899236679074,2.7586199904680253,387.40320908200846,1000.0,1068.6982369450925,1.0,1.0686982369450926,66.62953870814749
TRMB,2015-02-06,2015-03-26,26.36317538166046,24.627679389953613,40.21444235555424,1060.1803966951513,990.3883931783608,1.0601803966951513,0.9903883931783609,-71.84257230666401
ESS,2015-03-17,2015-04-02,234.65726328277586,226.5266793899536,4.254312095645857,998.3052335150678,963.7151921151708,0.9983052335150678,0.9637151921151708,-36.55206182552729
UDR,2015-03-17,2015-04-10,33.62680561065674,33.08344847488404,29.68778078637041,998.3052335150678,982.1741659795377,0.9983052335150678,0.9821741659795378,-18.111546935024762
TPR,2015-04-10,2015-04-29,43.04151045799255,39.05046469497681,23.27745409030212,1001.8967836631801,908.9953991422864,1.0018967836631802,0.9089953991422864,-94.81227670369924
HAL,2015-03-26,2015-05-20,44.05201377868652,45.25735877990723,22.617034932926746,996.3259344983234,1023.5872644971607,0.9963259344983234,1.0235872644971606,25.241416799841886
BG,2015-04-02,2015-06-30,83.01148622131348,88.36579866027833,11.973722585888803,993.9565074563383,1058.0675592386772,0.9939565074563383,1.0580675592386772,62.05902771564388
UPS,2015-04-29,2015-06-30,101.46070866394042,98.21087213516236,9.930919483206674,1007.5981284506821,975.3242635498034,1.007598128450682,0.9753242635498034,-34.25678729287927
MSCI,2015-03-17,2015-07-01,57.83890637397766,62.08893893241883,17.26009871383419,998.3052335150678,1071.6612150107717,0.9983052335150678,1.0716612150107716,71.2860150471779
PNR,2015-06-30,2015-07-10,45.455894536972046,43.779307891845704,21.609115594880027,982.2616795181044,946.0321248987373,0.9822616795181044,0.9460321248987373,-38.157848423784
TTWO,2015-05-20,2015-08-21,28.35417015266418,28.935525762557987,35.517978237817616,1007.0827984337042,1027.7313743343454,1.0070827984337043,1.0277313743343455,18.61376172787334
VLO,2015-07-01,2015-08-24,63.12154515266418,55.68214408493042,15.578659677515818,983.3490702523035,867.4531728135314,0.9833490702523034,0.8674531728135314,-117.74669968183787
CME,2015-07-10,2015-08-24,98.40918061065673,88.41576908493043,9.914022081567824,975.630789603047,876.555887066802,0.975630789603047,0.8765558870668021,-100.9270892129149
ERIE,2015-07-02,2015-08-25,84.25210408401489,83.10842652511597,11.707545079712188,986.3853066242077,972.9956500467434,0.9863853066242078,0.9729956500467435,-15.349037534135277
KEYS,2015-08-21,2015-09-25,32.33615969467163,31.36430916118622,30.777940090967032,995.2403858545462,965.328828357558,0.9952403858545462,0.9653288283575581,-31.87212671120028
HCA,2015-08-25,2015-09-29,85.94295152664183,74.01297805023194,10.757854034454521,924.5617278138131,796.2208145196815,0.9245617278138132,0.7962208145196815,-130.0616958364651
BBY,2015-08-26,2015-09-29,33.94696530532837,35.452266220092774,27.006955497139483,916.8041812639414,957.457776078787,0.9168041812639414,0.957457776078787,38.779332857502936
KKR,2015-08-27,2015-09-29,20.009999999999998,16.591700381278994,46.79117972544804,936.2915063062152,776.3452344912101,0.9362915063062152,0.7763452344912102,-161.65890855580255
PEG,2015-10-01,2015-10-29,42.181079847335816,41.17940076255798,20.805084219481046,877.5809186924763,856.7409009727808,0.8775809186924763,0.8567409009727808,-22.574339539360835
AEP,2015-10-01,2015-10-30,56.94845816802978,56.411778627395634,15.410090929997125,877.5809186924764,869.3106381710351,0.8775809186924765,0.869310638171035,-10.017172078304839
WEC,2015-09-25,2015-11-09,50.325149236679074,49.3153301525116,18.125717126622963,912.1794194191305,893.8757243504452,0.9121794194191305,0.8938757243504453,-20.109750212454742
ZBH,2015-10-30,2015-11-30,101.74987752914429,98.11596416854859,8.679715706258344,883.1600100995767,851.618675228432,0.8831600100995767,0.851618675228432,-33.27611355647264
STE,2015-09-25,2015-12-10,67.74385408401488,72.48373664474488,13.465124353389452,912.1794194191303,976.0025275198218,0.9121794194191304,0.9760025275198219,61.9349261537526
WST,2015-10-29,2016-01-04,59.419694389343256,59.25035877990723,14.952142589772603,888.4517431501714,885.9198129723579,0.8884517431501714,0.885919812972358,-4.3063017339360385
CFG,2015-11-09,2016-01-08,25.742864542007446,24.797594466209414,35.15715057528679,905.0457649425671,871.8127625534229,0.905045764942567,0.8718127625534229,-35.00986091664015
HSY,2015-12-15,2016-01-08,90.295125,85.93701335525513,9.719399961248941,877.6144344259683,835.2562042749165,0.8776144344259683,0.8352562042749165,-44.07110078975268
ESS,2015-11-30,2016-01-19,234.68729232788084,231.07440744018555,3.8460659029861834,902.6227928864134,888.7273995084345,0.9026227928864134,0.8887273995084345,-15.686743570373778
NRG,2016-01-04,2016-01-26,11.575784694671631,9.175410305023194,75.77231281718409,877.1239789890307,695.2420598582319,0.8771239789890307,0.6952420598582318,-183.45428516964614
CMG,2016-01-19,2016-03-18,9.571983306884766,9.394900228977203,86.21615991942498,825.2596435324433,809.9922205685409,0.8252596435324433,0.8099922205685409,-16.902674828003455
XEL,2016-01-08,2016-04-21,36.598291831970215,39.670153627395635,23.298854736168988,852.698284984994,924.2691467261981,0.852698284984994,0.9242691467261981,69.793894309493
