bucket,trades,net_pnl,share_of_trades,average_pnl
Large loss < -£500,1,-512.3373830789267,0.00048828125,-512.3373830789267
Loss £250-£500,25,-7547.49540896172,0.01220703125,-301.8998163584688
Loss £100-£250,157,-23405.123333829666,0.07666015625,-149.07721868681315
Loss £0-£100,405,-12115.533973511756,0.19775390625,-29.914898700029028
Profit £0-£100,1379,35689.79529012684,0.67333984375,25.88092479342048
Profit £100-£250,73,10252.022261112917,0.03564453125,140.43866111113584
Profit £250-£500,8,2404.744332475641,0.00390625,300.5930415594551
Large profit > £500,0,0.0,0.0,
