year,month,start_equity,end_equity,max_drawdown,return,trades,net_pnl,wins,win_rate
2014,1,5000.0,5041.241639932567,-0.012691239079747563,0.008248327986513315,,,,
2014,2,5079.038536758783,5282.151999316156,-0.04197160068859118,0.03999053385544715,,,,
2014,3,5280.791929600213,5204.697188278704,-0.09979031644888081,-0.014409721559938471,,,,
2014,4,5203.743562310375,5102.478518249429,-0.09098745553039422,-0.019460037345880643,,,,
2014,5,5125.093176268559,5009.068054889853,-0.10686540594326499,-0.022638636486835728,,,,
2014,6,4952.982613021794,5055.434510666017,-0.12172906799782479,0.020684889418926655,,,,
2014,7,5065.487355433948,4921.756834617679,-0.12819444088402976,-0.02837447035813534,,,,
2014,8,5537.0774982443045,4765.176821765899,-0.20464391858647546,-0.13940579244613416,,,,
2014,9,4348.057712011979,4610.847368135843,-0.22641149288038942,0.060438401127445696,,,,
2014,10,4560.68847453491,5004.155550727375,-0.2187346580448014,0.09723687085154165,,,,
2014,11,4637.526154521988,4831.662185556384,-0.18999896244800174,0.041861980841897184,,,,
2014,12,4904.593942887665,4756.275220670777,-0.21614794682183835,-0.0302407750659911,,,,
2015,1,4645.031367004774,4234.661685876836,-0.27294807872033655,-0.08834594402159113,,,,
2015,2,4830.412928467843,4355.613788819367,-0.2550903606444137,-0.09829369593855353,6.0,175.14490182501754,5.0,0.8333333333333334
2015,3,4976.226407693803,5566.093197657388,-0.2534605062898334,0.1185369679023418,13.0,-113.41177061964925,7.0,0.5384615384615384
2015,4,4641.662498127963,5064.237150588611,-0.2968129049769901,0.0910395041929648,12.0,153.8691685857358,12.0,1.0
2015,5,4380.962215683351,4695.345560946613,-0.296932952366877,0.0717612546709041,11.0,-195.5546133039752,7.0,0.6363636363636364
2015,6,5079.257500017329,4741.668179042214,-0.29958002624101,-0.06646430525996427,8.0,-26.42867670297006,5.0,0.625
2015,7,4486.76799807436,5073.4132777591485,-0.2863244150876241,0.13075008111330177,22.0,195.53137745118465,15.0,0.6818181818181818
2015,8,5019.826167298627,4661.941078612047,-0.2871639456784547,-0.07129431911766237,11.0,-593.2781580379573,6.0,0.5454545454545454
2015,9,4995.400678277485,4477.707464232077,-0.3259282469236108,-0.10363397200480806,11.0,-102.05727712301314,8.0,0.7272727272727273
2015,10,4510.544632468784,4713.297170585497,-0.3324166623353396,0.044950788571565425,28.0,118.7634621805436,22.0,0.7857142857142857
2015,11,4756.832092293149,6642.576405415354,-0.34951190622974115,0.3964286055371644,17.0,252.43818247122908,14.0,0.8235294117647058
2015,12,4942.837838108056,4850.684812505198,-0.3385348975197773,-0.018643748514745928,16.0,39.45236756285027,10.0,0.625
2016,1,5353.981384219081,4905.819320971557,-0.337845844312892,-0.08370631705378839,8.0,-291.51204212888103,3.0,0.375
2016,2,5017.837936041411,4985.1616295313415,-0.33628111366598035,-0.006512029070402381,25.0,244.51118060751355,19.0,0.76
2016,3,5584.148152224834,5497.382324895451,-0.3427003757186544,-0.015537880615651978,23.0,549.7331322802563,19.0,0.8260869565217391
2016,4,5105.689805424255,5055.553305639025,-0.3523042210785813,-0.009819730868092513,11.0,93.32325944156787,10.0,0.9090909090909091
2016,5,5174.638951293891,5222.8000977281945,-0.3566091107367849,0.009307151066503039,17.0,113.88376345496317,13.0,0.7647058823529411
2016,6,5665.085930167896,5698.07169574446,-0.3353113351003243,0.005822641700968356,16.0,-409.30876775201807,8.0,0.5
2016,7,5193.45729141927,5370.919089615183,-0.3414167195670055,0.03417026235858689,15.0,-82.12480060779887,10.0,0.6666666666666666
2016,8,5270.730314709249,5685.824813006698,-0.3449183956623927,0.07875464565869117,11.0,-19.47312128661145,7.0,0.6363636363636364
2016,9,5793.385355032634,5951.671993992786,-0.33901470635938347,0.02732195931393555,14.0,-116.59477865160659,9.0,0.6428571428571429
2016,10,5970.58819573479,5683.400004903018,-0.38033981240105785,-0.04810048548264145,11.0,-210.00292065780968,5.0,0.45454545454545453
2016,11,6233.624992663354,6289.427425028349,-0.3906254964335589,0.008951843017613648,14.0,172.46593441824632,10.0,0.7142857142857143
2016,12,5363.0576866914425,5468.216197879921,-0.3985354538753255,0.0196079395993507,7.0,62.33598204548434,5.0,0.7142857142857143
2017,1,6321.732460071007,5485.568027012629,-0.4148515395296165,-0.13226824107785584,16.0,244.72714812474635,12.0,0.75
2017,2,6435.680513324092,6446.651141342184,-0.4492637228856816,0.001704657028169576,22.0,335.79846442723874,19.0,0.8636363636363636
2017,3,5242.890950712877,8329.569952170466,-0.45988823940658674,0.5887360676532654,6.0,-95.45743335202906,4.0,0.6666666666666666
2017,4,5751.83138039982,8628.366370395817,-0.4679638291885918,0.5001076700193607,18.0,-26.586666297074316,12.0,0.6666666666666666
2017,5,5501.592650784942,6184.190020311546,-0.4696905366083831,0.12407268455784592,7.0,-153.92410068304878,3.0,0.42857142857142855
2017,6,4919.612893845838,4968.506410940492,-0.46721385229611245,0.009938488687965208,12.0,-15.587422134143367,8.0,0.6666666666666666
2017,7,6695.425993418902,5439.698871069777,-0.5000869858148007,-0.187549996607148,21.0,87.77629031163076,16.0,0.7619047619047619
2017,8,4966.614357277324,5118.784715106722,-0.5028224820317133,0.030638649768816917,12.0,-195.75601413486856,8.0,0.6666666666666666
2017,9,4664.719656853543,5538.309967439945,-0.4916717081619315,0.18727605833780325,21.0,36.23964016008563,15.0,0.7142857142857143
2017,10,6723.558890338767,6430.810786015147,-0.5207775967006788,-0.04354064701422877,17.0,-11.457824300740297,13.0,0.7647058823529411
2017,11,5437.624259598582,4609.327532562933,-0.509830136795792,-0.1523269515309975,12.0,161.74159450959064,11.0,0.9166666666666666
2017,12,5537.426985614453,6295.158311856546,-0.5384906994217604,0.13683816115509684,17.0,219.95221530737876,14.0,0.8235294117647058
