month,start_equity,end_equity,return,pnl
2015-01,5000.0,4980.9615254637465,-0.003807694907250747,-19.03847453625349
2015-02,5041.241639932567,5181.309821970062,0.027784461059749743,140.06818203749572
2015-03,5230.191522472337,4990.09277911476,-0.04590630043392396,-240.0987433575774
2015-04,4993.308701859297,5096.4372339274805,0.020653345952711177,103.12853206818363
2015-05,5125.093176268559,4958.868893853416,-0.03243341666154176,-166.22428241514262
2015-06,4966.005906704524,4978.877498336831,0.0025919404596215223,12.871591632307172
2015-07,4973.033941182528,5135.528440586764,0.03267512374258952,162.4944994042362
2015-08,5162.157758949194,4594.975727022425,-0.10987305278369175,-567.182031926769
2015-09,4423.492431755353,4450.701536560739,0.006151045859162707,27.209104805386232
2015-10,4441.876761569156,4609.707694219583,0.0377837886234238,167.8309326504268
2015-11,4672.1286706063065,4801.988713297488,0.027794620363982725,129.86004269118166
2015-12,4834.40320604536,4788.591434126668,-0.00947620005327754,-45.8117719186921
2016-01,4725.618300890491,4661.3183666901605,-0.013606671149934746,-64.29993420033043
2016-02,4644.066854138833,4887.60650611945,0.05244103059446115,243.53965198061724
2016-03,4974.794942096863,5390.371843811272,0.0835364887500758,415.57690171440845
2016-04,5421.770997067213,5479.353017141513,0.010620518665478196,57.58202007430009
2016-05,5461.235474976595,5535.256596858122,0.01355391508399384,74.0211218815275
2016-06,5521.9612360737965,5098.14567390757,-0.07675091222979424,-423.8155621662263
2016-07,5059.149537087863,5122.774573101917,0.012576231547936745,63.625036014053876
2016-08,5121.966616504413,5043.860396266576,-0.01524926382498415,-78.10622023783708
2016-09,5069.063456895599,4850.619466557952,-0.04309356002251086,-218.44399033764694
2016-10,4810.71208235223,4756.381701840977,-0.011293625471904711,-54.33038051125277
2016-11,4723.636734258244,4949.157256754511,0.04774298600497273,225.5205224962665
2016-12,4890.76616366997,4929.882223413472,0.007997941106664852,39.116059743501864
2017-01,5007.789645028776,5218.487060938923,0.04207393497834033,210.69741591014645
2017-02,5223.010294754657,5532.261556515436,0.0592093915785219,309.251261760779
2017-03,5584.148152224834,5409.566891555605,-0.031263722936805016,-174.58126066922887
2017-04,5386.019506007276,5406.1160733840425,0.003731246675648281,20.09656737676687
2017-05,5408.186135776583,5217.9011385702215,-0.03518462427681168,-190.28499720636137
2017-06,5263.816404537904,5204.556606913247,-0.011257952988932063,-59.25979762465704
2017-07,5251.717233353375,5346.574305928316,0.018062105852254984,94.8570725749405
2017-08,5331.116209097256,5203.16130527284,-0.024001522158918265,-127.95490382441585
2017-09,5223.041530857378,5164.7946469489125,-0.011151909010171046,-58.24688390846586
2017-10,5212.494921620528,5167.567351127679,-0.00861920657351567,-44.927570492848645
2017-11,5158.956424338056,5368.877696306356,0.04069064646058407,209.92127196829915
2017-12,5363.0576866914425,5545.734263452904,0.03406201973452161,182.67657676146155
2018-01,5565.38279410692,5485.568027012629,-0.014341289727421103,-79.81476709429171
2018-02,5405.114786496532,5092.054295538826,-0.05791930482953245,-313.06049095770595
2018-03,5025.417504503176,5113.90017697781,0.01760702914640344,88.48267247463355
2018-04,4993.821044459437,4919.154923219101,-0.014951701427742714,-74.666121240336
2018-05,4940.823805205996,4995.635186233702,0.011093571272457359,54.811381027706375
2018-06,5004.963559470147,4944.820800978117,-0.012016622654171027,-60.142758492029316
2018-07,4926.089136953694,4994.059817131014,0.013798101960321718,67.97068017731999
2018-08,4971.025590245473,5008.645140352556,0.007567764322296666,37.61955010708334
2018-09,4993.724829402036,4949.898109771431,-0.008776358555554031,-43.82671963060511
2018-10,4934.846563150879,4729.798888048279,-0.041550972756420945,-205.0476751025999
2018-11,4778.448226162619,4970.263826186785,0.04014181821076379,191.8156000241661
2018-12,5094.033052931588,4496.069232711285,-0.11738514729035343,-597.9638202203032
2019-01,4511.764194457048,4832.803728308898,0.07115609770702669,321.03953385185014
2019-02,4890.215793796904,5414.411978921473,0.10719285349114793,524.1961851245687
2019-03,5427.027290857167,5562.329492932779,0.0249311814413673,135.3022020756125
2019-04,5613.349916421616,5618.053822438332,0.0008379855321247742,4.703906016715337
2019-05,5536.388122235844,5343.967462368596,-0.034755630497512846,-192.4206598672481
2019-06,5357.705109032852,5845.091289464786,0.09096920612712012,487.386180431934
2019-07,6002.073404400206,5912.219588740776,-0.014970462639386617,-89.85381565942953
2019-08,5766.838951837251,5716.260582029399,-0.008770553544197424,-50.57836980785214
2019-09,5641.924971851496,5835.085814340541,0.03423669110325944,193.16084248904554
2019-10,5692.306696300785,5703.450388018846,0.0019576759146344713,11.143691718060836
2019-11,5780.820150861019,5864.969803391697,0.014556697896602744,84.14965253067749
2019-12,5858.329585797705,6224.451850389305,0.06249601686446371,366.12226459160047
2020-01,6256.206889889346,5998.873090904396,-0.0411325589952638,-257.3337989849497
2020-02,6012.5282858972605,5854.187399293162,-0.026335158701123462,-158.34088660409816
2020-03,5855.288778344153,5551.227701817335,-0.05192930494758696,-304.0610765268175
2020-04,5498.14779391402,6145.581933354512,0.11775495379683076,647.4341394404919
2020-05,6080.302291508589,6614.97047669404,0.08793447423364764,534.668185185451
2020-06,6609.745154926901,7146.239586329415,0.08116718857195448,536.4944314025142
2020-07,7173.5695350262895,6911.237218724765,-0.03656928604659626,-262.33231630152477
2020-08,7075.178713912505,7760.813678708789,0.09690708779526136,685.6349647962834
2020-09,7750.323695824806,7860.429507896111,0.01420660818729691,110.10581207130508
2020-10,7883.8151647721825,8001.940179057656,0.014983229796317277,118.1250142854733
2020-11,8137.231775004036,8989.930024950429,0.10478972131108688,852.6982499463929
2020-12,8995.97448935917,9224.554342777968,0.02540912645863691,228.57985341879794
2021-01,9131.229648713035,9283.377355668346,0.016662345906145903,152.14770695531115
2021-02,9280.167766368406,8915.327316722782,-0.039313992896531036,-364.8404496456242
2021-03,8985.344428326363,9405.136618555469,0.046719654831005375,419.7921902291055
2021-04,9460.821540692552,10096.559335748174,0.06719689112845106,635.737795055622
2021-05,10013.111141612368,10023.20400560917,0.001007964842701048,10.092863996802407
2021-06,10207.407565151954,10005.907726207335,-0.019740549954382014,-201.4998389446191
2021-07,9845.743319757812,9336.02466214406,-0.05177045968595184,-509.71865761375193
2021-08,9370.300750238432,9725.263962316933,0.03788173096466174,354.9632120785009
2021-09,9607.854938567776,9536.088102656096,-0.007469600277122623,-71.76683591167966
2021-10,9605.013192075388,9893.022509622531,0.029985312022763777,288.0093175471429
2021-11,10214.983785334438,9790.89249247557,-0.04151658992036111,-424.09129285886775
2021-12,9735.258954372795,9953.423372334022,0.022409719041241782,218.16441796122672
2022-01,10161.34662753452,9288.18980235222,-0.08592924315919692,-873.1568251822991
2022-02,9365.149872887054,8467.299383579722,-0.09587144909519163,-897.8504893073314
2022-03,8441.193998276534,8333.103797100415,-0.012805084351596219,-108.09020117611908
2022-04,8365.275896992465,7441.92746379394,-0.11037871847484348,-923.3484331985255
2022-05,7598.181347984151,7197.05238896704,-0.05279275929937277,-401.1289590171109
2022-06,7126.135299249677,6572.007804461473,-0.07775988969035552,-554.1274947882039
2022-07,6737.697603745817,7159.127863020421,0.06254811124801885,421.4302592746035
2022-08,7156.341392160752,7398.759130525624,0.03387453519621397,242.4177383648721
2022-09,7395.851218131103,6872.851760124446,-0.07071524866867418,-522.9994580066577
2022-10,6925.642998986119,7691.154855933455,0.11053296525093814,765.5118569473361
2022-11,7843.340282474031,8517.857605393183,0.08599873250767454,674.5173229191523
2022-12,8558.46749905448,8189.713185679359,-0.04308648872194243,-368.75431337512146
2023-01,8163.004033002311,9231.770398029088,0.13092807019399322,1068.7663650267768
2023-02,9158.363222040718,8904.678983521373,-0.027699735462426656,-253.68423851934494
2023-03,8982.144000087888,8645.494120696289,-0.03747990228038045,-336.6498793915998
2023-04,8638.587096203564,8772.774144238896,0.015533448530524518,134.18704803533183
2023-05,8755.98795375682,8527.456284128346,-0.026100043859747513,-228.53166962847354
2023-06,8589.14294520544,8623.654018131412,0.004017987958302216,34.51107292597226
2023-07,8650.523726551106,8614.638841677832,-0.004148290439702773,-35.88488487327413
2023-08,8649.760273183696,8521.647733627266,-0.014811108690908958,-128.11253955643042
2023-09,8531.632295144937,7895.705696632749,-0.07453750660047453,-635.9265985121874
2023-10,7824.241874187513,7114.658664635834,-0.09069034686831734,-709.5832095516789
2023-11,7099.222670070707,7313.453635761055,0.03017667928539769,214.23096569034806
2023-12,7464.642266761541,7565.097502783378,0.013457474910638867,100.45523602183766
2024-01,7607.228278827871,7346.406230071212,-0.03428608149995549,-260.82204875665866
2024-02,7307.700502013593,7634.112474730269,0.044666851443451394,326.41197271667625
2024-03,7586.39330401101,7897.883550060666,0.0410590689893402,311.490246049656
2024-04,7839.613245279804,7455.256613194888,-0.04902749919663896,-384.3566320849159
2024-05,7468.983028850436,7678.964351706012,0.028113776941851576,209.98132285557585
2024-06,7671.122549996764,7942.506464248294,0.03537734047172081,271.38391425152986
2024-07,7940.1084012345245,8261.595092877036,0.04048895498612182,321.4866916425117
2024-08,7958.908230323735,8819.172006485778,0.10808816376150765,860.2637761620435
2024-09,8501.17901496461,8973.567246556162,0.055567378449507876,472.38823159155254
2024-10,8757.12056935873,9031.153230977105,0.03129255323687308,274.0326616183738
