period,trades,pnl,win_rate,profit_factor,average_trade,average_holding_days
2015-2019,852,1312.988444359278,0.7253521126760564,1.1161260234631782,1.541066249247979,9.061032863849766
2020 COVID,164,2963.581058662807,0.7378048780487805,2.211507857462981,18.07061621135858,8.0
2021 Bull,173,938.91248767722,0.7341040462427746,1.209254390332458,5.427239813163122,9.07514450867052
2022 Bear,161,-2043.1013506714423,0.6645962732919255,0.6952426225852397,-12.69007050106486,9.453416149068323
2023 Recovery,187,-451.9029553278556,0.7005347593582888,0.90550494776004,-2.4165933439992275,7.86096256684492
2024-2025 Recent,369,1133.0709676521003,0.6991869918699187,1.1208627568484604,3.0706530288674805,9.008130081300813
