regime,start_date,end_date,start_equity,end_equity,return,max_drawdown,trades,net_pnl,win_rate,profit_factor
2015-2019,2015-01-01,2019-12-31,4645.031367004774,7916.474920565431,0.7042887970141223,-0.5403219666462362,852,1312.988444359278,0.7253521126760564,1.1161260234631782
2020_COVID,2020-01-01,2020-12-31,6577.259459801016,7754.330795934279,0.17896075764188768,-0.5579757558347176,164,2963.581058662807,0.7378048780487805,2.211507857462981
2021_BULL,2021-01-01,2021-12-31,8919.411282994102,10552.06435718296,0.18304493675515343,-0.6831964908304391,173,938.91248767722,0.7341040462427746,1.209254390332458
2022_BEAR,2022-01-01,2022-12-31,10907.113049159452,6840.377876749068,-0.3728516569032705,-0.6749956409636257,161,-2043.1013506714423,0.6645962732919255,0.6952426225852397
2023_RECOVERY,2023-01-01,2023-12-31,5561.742524831305,7761.376587883502,0.3954936880360018,-0.6133277647647554,187,-451.9029553278556,0.7005347593582888,0.90550494776004
2024,2024-01-01,2024-12-31,5864.925687196411,6236.367660285335,0.06333276718233805,-0.6920961462101555,180,1141.0154492232682,0.7055555555555556,1.2758252455643972
2025,2025-01-01,2025-12-31,6087.384192828864,3756.164867983976,-0.3829591251347566,-0.736780411131154,189,-7.944481571167898,0.6931216931216931,0.9984833342908279
