top_n_tickers,net_pnl_top_n,share_of_total_net_pnl,share_of_positive_pnl
1,513.6060539418752,0.10776297067747946,0.01721236870600509
3,1453.8249363157959,0.3050363070683698,0.04872172094895866
5,2306.9113263453323,0.48402781803002526,0.0773110208035219
10,4088.801396918714,0.8578975688866268,0.1370271177086987
20,7025.961410243049,1.4741618943588413,0.2354595265751149
