ticker,trades,win_rate,avg_profit,total_profit,best_trade,worst_trade,avg_hold_days
PNR,41,46.3,0.88,36.16,17.89,-13.35,50.7
PNW,48,37.5,-0.75,-35.87,9.83,-20.16,46.3
POOL,33,42.4,2.9,95.86,112.47,-64.56,74.0
PODD,42,47.6,-0.02,-0.96,52.02,-36.88,56.0
PPG,46,39.1,-0.63,-29.2,28.55,-13.04,44.0
PPL,44,36.4,-0.13,-5.61,4.19,-2.38,50.4
PRU,44,31.8,-0.42,-18.51,30.3,-10.8,50.4
PSA,46,37.0,-0.28,-12.68,78.35,-28.52,48.6
PSX,43,48.8,1.07,45.99,28.02,-12.45,51.2
PTC,43,53.5,1.0,43.15,45.23,-29.26,54.0
PYPL,41,31.7,1.75,71.84,82.05,-21.61,51.9
PWR,39,53.8,10.37,404.4,220.73,-65.57,65.0
QCOM,44,40.9,1.48,65.25,56.73,-25.38,43.5
RCL,46,43.5,3.61,165.89,101.56,-58.77,50.3
REGN,38,42.1,9.64,366.24,220.52,-116.81,58.5
RF,40,45.0,0.4,15.88,9.33,-2.65,56.7
REG,41,34.1,-0.71,-29.1,17.37,-10.42,51.3
RJF,45,48.9,1.48,66.57,41.96,-9.23,53.4
RL,50,36.0,-0.81,-40.7,42.97,-32.3,41.9
ROK,43,44.2,3.63,156.28,55.26,-34.47,56.0
RMD,48,43.8,-0.78,-37.54,76.42,-42.87,46.6
ROL,47,40.4,-0.15,-7.12,6.8,-6.02,48.1
ROST,39,43.6,2.82,110.05,80.53,-19.68,65.0
ROP,40,40.0,1.05,42.06,84.16,-39.89,55.7
RSG,41,63.4,2.03,83.17,38.65,-16.97,63.7
RTX,41,51.2,2.27,93.06,23.32,-9.05,58.4
SBAC,39,38.5,0.55,21.51,79.45,-46.53,54.8
RVTY,46,43.5,-1.22,-56.22,41.2,-23.28,47.1
SBUX,43,44.2,0.35,14.92,24.58,-9.78,52.3
SOLV,8,50.0,2.0,16.02,13.29,-7.76,42.4
SCHW,42,45.2,0.82,34.48,17.21,-10.9,52.6
SHW,41,46.3,1.25,51.25,53.81,-30.71,61.0
SLB,45,42.2,0.14,6.47,10.89,-4.72,46.6
SJM,41,34.1,-1.06,-43.49,24.88,-21.32,50.9
SMCI,40,50.0,-0.13,-5.07,44.03,-36.07,52.5
SNPS,42,50.0,0.82,34.46,74.79,-124.9,56.1
SNA,40,42.5,2.92,116.96,65.1,-15.34,53.9
SO,37,54.1,0.78,28.77,17.67,-9.62,62.7
SPG,39,41.0,1.3,50.84,38.52,-13.32,54.5
SRE,40,47.5,-0.2,-8.17,17.55,-14.54,60.5
SPGI,39,51.3,4.81,187.61,50.72,-50.66,62.3
STE,44,45.5,-1.34,-58.8,20.6,-23.77,53.7
STLD,43,44.2,3.46,148.67,62.35,-19.26,55.4
STT,46,41.3,-0.06,-2.62,20.18,-11.19,43.9
STZ,46,39.1,-1.33,-61.25,58.33,-16.0,44.8
STX,49,40.8,7.94,389.13,385.56,-200.14,45.9
SW,182,20.9,-0.52,-94.04,9.36,-7.81,12.5
SWK,42,42.9,-0.31,-12.92,24.5,-21.85,52.9
SWKS,49,24.5,-1.14,-55.96,40.63,-17.56,40.0
SYF,42,42.9,0.54,22.57,15.36,-7.03,49.9
SYK,46,30.4,-1.26,-57.74,63.82,-32.11,53.6
SYY,40,45.0,0.19,7.46,11.37,-7.45,57.4
T,44,40.9,-0.14,-6.22,3.0,-4.42,42.1
TAP,52,25.0,-1.55,-80.66,17.71,-9.43,37.8
TDG,44,43.2,1.23,53.95,219.89,-130.82,57.6
TDY,45,37.8,2.25,101.36,109.78,-61.89,51.6
TECH,41,34.1,-1.21,-49.41,12.21,-10.19,54.3
TEL,50,40.0,-0.65,-32.48,70.97,-24.21,42.9
TER,44,54.5,1.5,66.13,83.11,-53.73,52.8
TFC,47,40.4,-0.12,-5.69,8.0,-5.84,46.6
TGT,36,55.6,4.38,157.66,56.85,-14.12,56.0
TJX,44,40.9,0.05,2.27,12.54,-16.3,57.4
TKO,42,40.5,1.76,73.85,54.17,-17.45,58.5
TMO,43,48.8,5.0,214.89,131.92,-47.53,52.1
