ticker,total_trades,winning_trades,losing_trades,win_rate,total_profit,avg_win,avg_loss,best_trade,worst_trade,avg_trade,profit_factor
UNP,33,20,13,60.6,34.63,6.19,6.87,14.88,-20.13,1.05,0.39
UNH,38,26,12,68.4,28.27,10.36,20.09,33.5,-64.38,0.74,0.12
VICI,25,17,7,68.0,7.58,0.74,0.71,1.91,-1.48,0.3,1.53
UPS,38,21,17,55.3,-27.94,3.5,5.97,8.49,-29.51,-0.74,-0.28
URI,35,24,11,68.6,141.77,17.29,24.84,63.43,-84.3,4.05,0.52
V,28,19,9,67.9,5.11,3.82,7.49,13.07,-15.81,0.18,0.08
USB,33,26,7,78.8,17.3,1.3,2.35,3.24,-4.31,0.52,1.05
VLO,26,22,4,84.6,70.64,4.82,8.86,24.36,-15.16,2.72,1.99
VMC,32,20,12,62.5,61.67,7.66,7.63,22.75,-27.61,1.93,0.67
VRSN,23,18,5,78.3,36.94,4.06,7.24,15.55,-22.58,1.61,1.02
VRSK,33,22,11,66.7,1.71,3.12,6.09,9.22,-21.26,0.05,0.03
VST,25,15,10,60.0,-6.37,3.46,5.82,22.33,-30.06,-0.25,-0.11
VRTX,26,20,6,76.9,86.76,9.93,18.66,22.58,-41.26,3.34,0.78
VTR,32,24,8,75.0,31.32,2.02,2.14,6.48,-4.83,0.98,1.83
VTRS,28,14,14,50.0,-20.02,1.03,2.46,6.33,-12.51,-0.72,-0.58
VZ,38,24,14,63.2,-11.73,0.73,2.09,1.99,-6.12,-0.31,-0.4
WBD,36,18,18,50.0,-11.65,1.12,1.77,3.63,-4.05,-0.32,-0.37
WAT,29,20,9,69.0,116.74,10.28,9.88,37.02,-27.75,4.03,1.31
WAB,40,26,14,65.0,38.14,3.54,3.85,13.63,-10.48,0.95,0.71
WDAY,40,28,12,70.0,62.57,9.67,17.35,28.39,-39.99,1.56,0.3
WEC,31,21,10,67.7,1.47,1.49,2.99,6.02,-12.57,0.05,0.05
WDC,38,31,7,81.6,118.55,4.66,3.69,58.6,-6.7,3.12,4.59
WM,31,20,11,64.5,-3.71,3.73,7.12,12.93,-22.55,-0.12,-0.05
WELL,34,21,13,61.8,1.11,3.3,5.25,8.09,-22.78,0.03,0.02
WMB,33,25,8,75.8,-6.12,0.76,3.13,2.3,-8.16,-0.19,-0.24
WMT,34,25,9,73.5,10.59,0.98,1.54,4.48,-3.94,0.31,0.77
WRB,36,21,14,58.3,7.49,1.03,1.01,2.44,-4.46,0.21,0.53
WFC,37,24,13,64.9,9.22,1.5,2.06,5.65,-7.59,0.25,0.34
WSM,34,24,10,70.6,36.79,3.67,5.14,14.51,-18.78,1.08,0.72
WST,29,15,14,51.7,-132.45,5.43,15.28,21.4,-61.26,-4.57,-0.62
WY,38,24,13,63.2,8.84,0.95,1.08,2.26,-2.59,0.23,0.63
WTW,24,14,10,58.3,-50.47,5.48,12.72,18.86,-45.01,-2.1,-0.4
ARM,7,6,1,85.7,35.7,9.25,19.81,35.31,-19.81,5.1,1.8
APP,14,8,6,57.1,-92.88,8.54,26.87,30.78,-121.76,-6.63,-0.58
WYNN,40,24,16,60.0,-20.6,5.61,9.7,22.11,-27.86,-0.51,-0.13
XOM,35,25,10,71.4,28.57,2.56,3.54,9.04,-12.59,0.82,0.81
XEL,33,18,15,54.5,-10.57,1.52,2.53,3.65,-10.84,-0.32,-0.28
XYL,35,22,13,62.9,-24.72,2.17,5.57,8.78,-20.5,-0.71,-0.34
XYZ,30,18,12,60.0,-41.76,3.73,9.07,19.77,-27.7,-1.39,-0.38
YUM,34,22,12,64.7,10.1,2.8,4.28,9.82,-9.99,0.3,0.2
ZBRA,35,27,8,77.1,31.61,7.4,21.02,24.61,-49.7,0.9,0.19
ZBH,34,20,14,58.8,-27.94,2.6,5.71,8.8,-14.37,-0.82,-0.35
ZTS,31,13,18,41.9,-87.9,2.96,7.02,7.46,-23.34,-2.84,-0.7
GFS,15,10,5,66.7,8.46,3.2,4.71,8.79,-8.85,0.56,0.36
ASML,51,33,18,64.7,7.04,15.73,28.44,64.41,-189.7,0.14,0.01
AZN,45,34,11,75.6,38.59,3.27,6.61,15.04,-15.68,0.86,0.53
PDD,28,17,11,60.7,-11.12,5.51,9.53,13.4,-20.77,-0.4,-0.11
CCEP,38,27,11,71.1,-5.09,1.0,2.91,3.91,-6.73,-0.13,-0.16
MELI,40,26,14,65.0,-392.88,42.28,106.58,124.57,-334.06,-9.82,-0.26
MRVL,34,20,14,58.8,-10.05,2.2,3.86,12.15,-15.06,-0.3,-0.19
MSTR,32,24,8,75.0,-57.93,5.41,23.48,22.98,-67.58,-1.81,-0.31
ZS,25,18,7,72.0,79.01,8.35,10.19,16.47,-30.82,3.16,1.11
SHOP,29,23,6,79.3,29.74,3.33,7.81,12.89,-20.05,1.03,0.64
TEAM,26,18,8,69.2,61.68,11.02,17.08,52.91,-44.1,2.37,0.45
TRI,34,26,8,76.5,33.55,2.68,4.5,10.06,-9.99,0.99,0.93
