rsi_ob,rsi_os,total_profit,num_trades,win_rate,profit_factor,num_stocks
90,45,24248.98690843582,21161,45.41375444757796,0.28041156908494774,502
90,40,24248.98690843582,21161,45.41375444757796,0.28041156908494774,502
90,35,24248.98690843582,21161,45.41375444757796,0.28041156908494774,502
90,30,24248.98690843582,21161,45.41375444757796,0.28041156908494774,502
85,45,19742.676853716373,20997,49.51517014891015,0.2798970715864237,502
85,40,19742.676853716373,20997,49.51517014891015,0.2798970715864237,502
85,35,19742.676853716373,20997,49.51517014891015,0.2798970715864237,502
85,30,19742.676853716373,20997,49.51517014891015,0.2798970715864237,502
80,45,13129.609834611416,20486,56.678328718156536,0.31050821487469177,502
80,40,13129.609834611416,20486,56.678328718156536,0.31050821487469177,502
80,35,13129.609834611416,20486,56.678328718156536,0.31050821487469177,502
80,30,13129.609834611416,20486,56.678328718156536,0.31050821487469177,502
75,30,7387.785012841225,19144,64.51349723723742,0.3659610054724005,502
75,35,7387.785012841225,19144,64.51349723723742,0.3659610054724005,502
75,40,7387.785012841225,19144,64.51349723723742,0.3659610054724005,502
75,45,7387.785012841225,19144,64.51349723723742,0.3659610054724005,502
70,45,5553.741022884846,16639,67.87477631822836,0.793774637348338,502
70,40,5553.741022884846,16639,67.87477631822836,0.793774637348338,502
70,35,5553.741022884846,16639,67.87477631822836,0.793774637348338,502
70,30,5553.741022884846,16639,67.87477631822836,0.793774637348338,502
65,30,2279.9709838032722,12705,65.59980035010771,2.2218927002466113,502
65,35,2279.9709838032722,12705,65.59980035010771,2.2218927002466113,502
65,40,2279.9709838032722,12705,65.59980035010771,2.2218927002466113,502
65,45,2279.9709838032722,12705,65.59980035010771,2.2218927002466113,502
60,30,-228.27277731895447,8198,61.64889461820641,2.053871653775018,502
60,35,-228.27277731895447,8198,61.64889461820641,2.053871653775018,502
60,40,-228.27277731895447,8198,61.64889461820641,2.053871653775018,502
60,45,-228.27277731895447,8198,61.64889461820641,2.053871653775018,502
