total_profit,num_trades,win_rate,winning_trades,losing_trades,avg_win,avg_loss,best_trade,worst_trade,profit_factor,risk_reward,max_drawdown,sharpe_ratio,expectancy,max_consecutive_wins,max_consecutive_losses,ticker,strategy
52.21,111,40.5,45,66,11.69,7.18,93.89,-21.51,0.11,1.63,107.09,1.26,0.47,4,9,NXPI,MACD
33.68,118,39.8,47,70,2.61,1.27,11.73,-6.45,0.38,2.05,14.53,1.78,0.29,4,6,O,MACD
-12.87,66,33.3,22,43,4.08,2.39,9.9,-9.09,-0.13,1.71,31.65,-0.21,-0.2,4,11,OTIS,MACD
123.45,107,43.9,47,60,8.19,4.36,51.43,-17.99,0.47,1.88,54.18,3.58,1.15,5,5,ODFL,MACD
32.15,115,34.8,40,75,4.4,1.92,14.39,-6.6,0.22,2.29,39.04,1.8,0.28,3,12,OKE,MACD
-30.13,124,39.5,49,75,4.1,3.08,42.19,-13.47,-0.13,1.33,74.42,1.17,-0.24,5,14,ON,MACD
-95.84,123,30.1,37,86,3.67,2.69,12.48,-11.78,-0.41,1.36,105.45,-2.62,-0.78,3,17,OMC,MACD
54.05,101,40.6,41,60,8.12,4.65,99.16,-44.87,0.19,1.75,139.27,2.1,0.54,3,10,ORCL,MACD
24.85,117,37.6,44,72,2.42,1.13,11.0,-6.44,0.3,2.13,17.18,1.83,0.21,4,7,ORLY,MACD
15.73,105,35.2,37,68,4.01,1.95,12.92,-5.66,0.12,2.06,21.91,1.94,0.15,3,7,OXY,MACD
165.56,105,44.8,47,58,7.6,3.31,103.12,-18.13,0.86,2.3,44.95,3.51,1.58,5,9,PANW,MACD
27.96,129,31.0,40,89,23.39,10.2,116.78,-68.84,0.03,2.29,305.09,0.74,0.22,4,10,PAYC,MACD
5.33,124,34.7,43,81,4.89,2.53,19.25,-11.34,0.03,1.93,74.92,1.03,0.04,3,10,PAYX,MACD
38.87,108,34.3,37,71,5.0,2.06,19.8,-11.64,0.27,2.43,47.18,1.9,0.36,3,10,PCAR,MACD
-32.35,117,35.0,41,75,1.53,1.27,7.3,-13.27,-0.34,1.21,43.9,0.27,-0.28,3,7,PCG,MACD
13.23,119,36.1,43,76,2.64,1.32,6.67,-4.51,0.13,2.0,23.19,1.25,0.11,3,5,PEG,MACD
11.6,114,28.9,33,80,2.27,0.79,9.39,-4.01,0.18,2.87,15.82,0.81,0.1,3,10,PFE,MACD
51.74,112,43.8,49,63,4.63,2.78,18.67,-11.82,0.3,1.67,23.35,1.92,0.46,4,5,PEP,MACD
24.97,116,37.1,43,71,3.59,1.82,12.7,-6.44,0.19,1.97,26.13,1.19,0.22,4,10,PFG,MACD
7.64,117,38.5,45,72,4.62,2.78,23.77,-9.6,0.04,1.66,45.43,0.62,0.07,6,7,PG,MACD
15.79,107,45.8,49,57,5.02,4.04,38.93,-29.36,0.07,1.24,87.93,2.26,0.15,5,5,PGR,MACD
58.78,58,39.7,23,35,6.55,2.62,31.99,-14.13,0.64,2.5,23.6,1.67,1.01,6,7,PLTR,MACD
472.3,113,40.7,46,67,22.92,8.69,95.51,-68.02,0.81,2.64,101.3,3.74,4.18,5,5,PH,MACD
44.07,119,33.6,40,79,4.65,1.8,16.77,-12.15,0.31,2.59,30.88,1.59,0.37,5,8,PHM,MACD
66.15,114,42.1,48,66,6.4,3.65,25.69,-14.81,0.27,1.75,50.91,1.79,0.58,6,6,PKG,MACD
44.82,128,34.4,44,83,5.8,2.53,31.7,-18.83,0.21,2.29,30.27,1.36,0.35,3,7,PLD,MACD
46.41,107,35.5,38,69,6.98,3.17,32.36,-15.28,0.21,2.2,38.73,1.81,0.43,3,9,PM,MACD
77.92,117,41.9,49,68,7.55,4.29,35.0,-20.51,0.27,1.76,118.69,1.58,0.67,5,5,PNC,MACD
20.83,112,37.5,42,70,3.74,1.95,13.37,-6.18,0.15,1.92,24.57,1.16,0.19,4,8,PNW,MACD
-34.3,132,37.1,49,83,2.65,1.98,10.55,-10.49,-0.21,1.34,39.56,-0.72,-0.26,4,11,PNR,MACD
97.55,107,38.3,41,66,15.98,8.45,65.65,-58.26,0.17,1.89,112.56,1.72,0.91,4,5,PODD,MACD
-70.44,125,37.6,47,78,15.26,10.1,122.94,-61.62,-0.09,1.51,382.57,0.43,-0.56,4,8,POOL,MACD
-12.87,120,32.5,39,81,6.7,3.38,21.4,-10.4,-0.05,1.98,53.55,-0.02,-0.11,4,7,PPG,MACD
29.03,119,46.2,55,64,4.07,3.05,14.81,-7.91,0.15,1.34,50.62,1.42,0.24,5,7,PRU,MACD
4.37,109,39.4,43,66,1.2,0.71,3.59,-2.5,0.09,1.68,12.89,1.03,0.04,5,9,PPL,MACD
7.85,116,37.1,43,73,13.07,7.59,45.98,-28.51,0.01,1.72,108.96,0.13,0.07,3,9,PSA,MACD
196.59,108,42.6,46,62,9.03,3.53,29.77,-10.01,0.9,2.56,31.99,3.32,1.82,3,6,PSX,MACD
86.27,110,44.5,49,61,6.53,3.83,33.08,-15.42,0.37,1.7,66.79,2.61,0.78,6,7,PTC,MACD
1.87,115,34.8,40,75,7.47,3.96,46.37,-43.23,0.01,1.89,142.17,0.28,0.02,4,10,PYPL,MACD
146.8,123,38.2,47,76,13.24,6.25,140.97,-38.26,0.31,2.12,125.64,1.73,1.19,4,8,PWR,MACD
223.0,108,50.0,54,54,10.79,6.66,62.13,-36.73,0.62,1.62,109.73,3.68,2.06,4,6,RCL,MACD
67.07,102,39.2,40,62,9.64,5.14,66.94,-23.56,0.21,1.88,81.57,1.82,0.66,6,8,QCOM,MACD
-11.96,119,33.6,40,79,2.89,1.62,10.85,-4.29,-0.09,1.79,30.79,-0.03,-0.1,6,7,REG,MACD
-50.18,116,33.6,39,77,41.64,21.74,144.33,-93.73,-0.03,1.92,372.76,0.19,-0.43,3,9,REGN,MACD
22.89,112,44.6,50,62,1.18,0.58,4.1,-2.13,0.63,2.03,4.74,3.01,0.2,5,6,RF,MACD
104.1,102,46.1,47,55,5.63,2.91,42.45,-15.19,0.65,1.93,29.91,3.73,1.02,5,6,RJF,MACD
-15.04,111,40.5,45,66,9.62,6.79,51.99,-39.73,-0.03,1.42,143.7,0.74,-0.14,5,8,RMD,MACD
96.46,115,34.8,40,75,12.19,5.21,73.55,-33.84,0.25,2.34,55.12,1.19,0.84,3,6,RL,MACD
14.89,110,42.7,47,62,1.8,1.12,8.08,-5.78,0.21,1.6,17.17,2.55,0.14,4,10,ROL,MACD
-8.59,128,32.0,41,87,16.12,7.7,82.86,-34.85,-0.01,2.09,141.64,0.72,-0.07,3,7,ROK,MACD
94.46,118,37.3,44,74,17.7,9.25,86.51,-50.75,0.14,1.91,213.67,1.52,0.8,3,6,ROP,MACD
67.78,121,34.7,42,79,6.88,2.8,30.05,-8.3,0.31,2.46,70.91,1.36,0.56,4,9,ROST,MACD
