total_profit,num_trades,win_rate,winning_trades,losing_trades,avg_win,avg_loss,best_trade,worst_trade,profit_factor,risk_reward,max_drawdown,sharpe_ratio,expectancy,max_consecutive_wins,max_consecutive_losses,ticker,strategy
2.15,6,33.3,2,4,7.08,3.0,11.19,-4.9,0.18,2.36,7.11,1.84,0.36,1,3,IVZ,MA Cross
37.09,9,44.4,4,5,15.28,4.81,30.65,-10.11,1.54,3.18,10.11,6.63,4.12,2,2,J,MA Cross
-60.77,9,22.2,2,7,34.76,18.61,54.24,-39.16,-0.47,1.87,90.75,-1.97,-6.75,1,4,JBHT,MA Cross
85.79,8,50.0,4,4,24.26,2.81,60.82,-4.01,7.63,8.63,7.23,8.19,10.72,2,3,JBL,MA Cross
4.66,6,50.0,3,3,9.77,8.22,22.19,-9.3,0.19,1.19,17.64,3.11,0.78,2,2,JCI,MA Cross
13.3,7,42.9,3,4,21.88,13.09,34.91,-28.12,0.25,1.67,45.1,4.08,1.9,2,3,JKHY,MA Cross
-67.53,11,27.3,3,8,9.13,11.86,16.58,-20.07,-0.71,0.77,82.64,-7.28,-6.14,2,6,JNJ,MA Cross
219.35,5,60.0,3,2,79.86,10.11,163.83,-11.78,10.84,7.9,11.78,11.95,43.87,2,1,JPM,MA Cross
-85.11,11,18.2,2,9,2.97,10.12,5.79,-70.34,-0.93,0.29,82.21,-7.12,-7.74,1,6,KDP,MA Cross
-6.68,7,42.9,3,4,3.43,4.24,4.83,-7.73,-0.39,0.81,10.44,-1.58,-0.95,1,2,KEY,MA Cross
-18.39,7,14.3,1,6,3.94,3.72,3.94,-5.93,-0.82,1.06,15.12,-10.93,-2.63,1,4,KHC,MA Cross
42.61,5,40.0,2,3,47.12,17.21,52.06,-22.14,0.83,2.74,51.63,8.04,8.52,2,3,KEYS,MA Cross
-5.08,8,37.5,3,5,1.59,1.97,4.5,-3.72,-0.52,0.81,8.1,-2.16,-0.64,2,2,KIM,MA Cross
-1.71,1,0.0,0,1,0.0,1.71,-1.71,-1.71,-1.0,0.0,0.0,0.0,-1.71,0,1,KVUE,MA Cross
38.0,6,66.7,4,2,17.47,15.93,40.36,-21.65,1.19,1.1,21.65,10.48,6.33,3,1,KKR,MA Cross
48.9,5,100.0,5,0,9.78,0.0,27.99,0.49,48.9,0.0,0.0,19.07,9.78,5,0,KLAC,MA Cross
-53.18,12,33.3,4,8,5.04,9.17,15.92,-20.02,-0.73,0.55,57.67,-6.89,-4.43,1,3,KMB,MA Cross
-1.63,9,44.4,4,5,2.97,2.7,9.07,-8.43,-0.12,1.1,12.04,-0.03,-0.18,1,3,KMI,MA Cross
-75.85,10,10.0,1,9,21.81,10.85,21.81,-29.55,-0.78,2.01,74.87,-9.6,-7.59,1,5,KMX,MA Cross
1.21,9,55.6,5,4,2.42,2.72,7.16,-4.95,0.11,0.89,4.95,1.36,0.13,3,2,KO,MA Cross
17.09,9,44.4,4,5,9.87,4.48,17.51,-8.49,0.76,2.2,9.17,5.21,1.9,3,3,KR,MA Cross
5.68,6,33.3,2,4,13.92,5.54,15.84,-13.92,0.26,2.51,19.46,3.27,0.95,1,3,L,MA Cross
32.58,9,33.3,3,6,27.84,8.49,46.23,-15.52,0.64,3.28,32.87,4.25,3.62,1,3,LDOS,MA Cross
46.31,6,50.0,3,3,26.8,11.36,47.46,-16.77,1.36,2.36,16.77,5.83,7.72,2,1,LEN,MA Cross
86.59,9,44.4,4,5,43.04,17.11,102.7,-23.51,1.01,2.52,27.72,4.47,9.62,2,2,LH,MA Cross
89.4,8,62.5,5,3,31.01,21.89,66.95,-35.53,1.36,1.42,35.53,6.17,11.18,2,1,LHX,MA Cross
133.75,4,50.0,2,2,159.67,92.8,280.33,-167.86,0.72,1.72,185.6,6.82,33.44,2,2,LII,MA Cross
94.3,8,50.0,4,4,45.24,21.67,81.32,-43.38,1.09,2.09,53.78,7.32,11.79,2,2,LIN,MA Cross
-25.48,10,20.0,2,8,6.97,4.93,13.55,-17.99,-0.65,1.41,25.87,-4.31,-2.55,1,5,LKQ,MA Cross
578.61,6,66.7,4,2,149.33,9.36,411.88,-12.84,30.89,15.95,5.89,11.77,96.44,4,2,LLY,MA Cross
-90.39,10,40.0,4,6,16.23,25.88,33.88,-52.16,-0.58,0.63,112.2,-5.32,-9.04,2,3,LMT,MA Cross
-9.86,7,28.6,2,5,6.96,4.75,9.13,-13.01,-0.41,1.46,21.13,-0.81,-1.41,1,4,LNT,MA Cross
9.35,12,33.3,4,8,24.79,11.23,72.4,-28.71,0.1,2.21,33.77,0.62,0.78,2,3,LOW,MA Cross
48.13,6,66.7,4,2,17.04,10.01,29.59,-19.46,2.4,1.7,19.46,13.7,8.02,3,1,LRCX,MA Cross
-42.45,8,25.0,2,6,87.49,36.24,150.4,-121.84,-0.2,2.41,209.04,4.33,-5.31,2,4,LULU,MA Cross
-43.97,10,20.0,2,8,8.06,7.51,9.31,-19.66,-0.73,1.07,43.02,-9.29,-4.4,1,4,LUV,MA Cross
-24.39,5,20.0,1,4,37.41,15.45,37.41,-23.68,-0.39,2.42,44.52,-1.85,-4.88,1,2,LW,MA Cross
-31.78,12,25.0,3,9,8.7,6.43,10.21,-15.92,-0.55,1.35,40.79,-4.49,-2.65,2,5,LVS,MA Cross
-10.51,8,25.0,2,6,19.14,8.13,27.3,-21.49,-0.22,2.35,21.49,-0.14,-1.31,1,4,LYB,MA Cross
92.75,4,75.0,3,1,34.77,11.56,51.99,-11.56,8.02,3.01,11.56,17.34,23.19,2,1,LYV,MA Cross
348.39,7,57.1,4,3,95.52,11.23,208.58,-15.02,10.34,8.51,29.65,11.93,49.77,3,2,MA,MA Cross
44.27,5,40.0,2,3,33.71,7.72,53.06,-16.28,1.91,4.37,16.28,5.76,8.85,2,2,MAA,MA Cross
5.03,7,42.9,3,4,50.9,36.92,57.76,-72.66,0.03,1.38,86.06,3.76,0.72,1,2,MAR,MA Cross
-15.77,9,55.6,5,4,6.14,11.62,13.39,-17.36,-0.34,0.53,31.46,-0.9,-1.75,3,2,MAS,MA Cross
-43.77,9,44.4,4,5,28.43,31.5,44.03,-67.46,-0.28,0.9,110.12,0.96,-4.86,2,2,MCD,MA Cross
1.35,10,30.0,3,7,14.69,6.1,19.47,-13.5,0.03,2.41,28.43,3.07,0.14,1,4,MCHP,MA Cross
387.31,7,57.1,4,3,114.29,23.28,201.46,-30.55,5.55,4.91,46.81,6.92,55.33,4,3,MCK,MA Cross
204.89,8,62.5,5,3,50.66,16.13,112.11,-25.41,4.23,3.14,43.88,12.31,25.61,5,2,MCO,MA Cross
-23.05,11,18.2,2,9,9.89,4.76,12.51,-9.69,-0.54,2.08,29.87,-3.12,-2.1,1,5,MDLZ,MA Cross
-46.09,11,18.2,2,9,8.54,7.02,14.67,-11.11,-0.73,1.22,39.4,-10.6,-4.19,1,5,MDT,MA Cross
-16.7,10,30.0,3,7,11.5,7.32,25.48,-22.52,-0.33,1.57,23.28,0.04,-1.67,1,4,MET,MA Cross
451.76,6,50.0,3,3,182.29,31.71,412.78,-51.99,4.75,5.75,51.99,8.31,75.29,2,2,META,MA Cross
-2.56,7,42.9,3,4,11.03,8.91,21.11,-18.77,-0.07,1.24,18.77,2.19,-0.37,2,3,MGM,MA Cross
22.51,10,40.0,4,6,36.17,20.36,93.92,-36.79,0.18,1.78,63.23,1.68,2.25,2,2,MHK,MA Cross
-7.22,6,50.0,3,3,7.37,9.78,16.02,-14.79,-0.25,0.75,27.18,0.81,-1.2,2,2,MKC,MA Cross
-19.68,6,33.3,2,4,72.17,41.0,90.0,-63.34,-0.12,1.76,147.66,-1.03,-3.28,2,3,MKTX,MA Cross
241.56,8,50.0,4,4,97.76,37.37,183.25,-54.32,1.62,2.62,95.17,5.83,30.2,2,3,MLM,MA Cross
11.12,8,50.0,4,4,21.15,18.37,51.47,-31.61,0.15,1.15,55.75,2.42,1.39,2,2,MMM,MA Cross
