total_profit,num_trades,win_rate,winning_trades,losing_trades,avg_win,avg_loss,best_trade,worst_trade,profit_factor,risk_reward,max_drawdown,sharpe_ratio,expectancy,max_consecutive_wins,max_consecutive_losses,ticker,strategy
-8.62,32,62.5,20,12,2.07,4.16,5.05,-18.22,-0.17,0.5,31.73,-0.71,-0.27,4,4,ATO,SuperTrend+RSI
-37.48,31,58.1,18,13,4.44,9.03,12.57,-20.42,-0.32,0.49,82.27,-0.28,-1.21,9,5,AVY,SuperTrend+RSI
86.51,34,70.6,24,10,13.38,23.47,143.66,-109.47,0.37,0.57,109.47,3.29,2.54,8,2,AXON,SuperTrend+RSI
463.29,38,68.4,26,12,52.76,75.71,277.46,-262.36,0.51,0.7,333.79,0.75,12.19,6,2,AZO,SuperTrend+RSI
97.24,37,70.3,26,11,5.78,4.81,17.12,-19.42,1.84,1.2,19.42,5.19,2.63,8,2,AXP,SuperTrend+RSI
-15.9,37,64.9,24,13,6.92,14.01,23.04,-37.93,-0.09,0.49,67.25,-1.0,-0.43,6,3,BA,SuperTrend+RSI
9.33,36,72.2,26,10,0.76,1.04,2.08,-2.59,0.9,0.73,5.55,3.59,0.26,7,2,BAC,SuperTrend+RSI
-10.06,32,68.8,22,10,1.63,4.59,4.3,-12.97,-0.22,0.35,30.1,0.04,-0.31,5,3,BALL,SuperTrend+RSI
1.36,25,80.0,20,5,1.14,4.3,3.46,-12.66,0.06,0.27,13.18,1.0,0.05,7,1,BAX,SuperTrend+RSI
-81.15,38,55.3,21,17,2.01,7.26,4.77,-14.82,-0.66,0.28,86.37,-5.48,-2.14,5,4,BBY,SuperTrend+RSI
-20.35,35,68.6,24,11,3.22,8.87,10.42,-14.01,-0.21,0.36,47.87,-1.19,-0.58,7,2,BDX,SuperTrend+RSI
10.22,32,59.4,19,13,2.89,3.44,7.81,-12.51,0.23,0.84,19.18,1.73,0.32,5,3,BG,SuperTrend+RSI
13.51,40,65.0,26,14,2.7,4.05,8.0,-8.74,0.24,0.67,33.88,-0.31,0.34,6,2,BKNG,SuperTrend+RSI
9.31,27,66.7,18,9,1.12,1.21,3.66,-3.07,0.86,0.93,5.14,3.64,0.34,8,3,BEN,SuperTrend+RSI
-173.22,30,56.7,17,13,9.31,25.5,22.25,-102.99,-0.52,0.37,264.85,-2.47,-5.77,5,4,BIIB,SuperTrend+RSI
2.83,32,68.8,22,10,3.93,8.35,18.55,-38.26,0.03,0.47,45.29,0.94,0.09,5,2,BLDR,SuperTrend+RSI
-17.22,34,58.8,20,14,1.43,3.27,8.23,-20.43,-0.38,0.44,27.74,-1.6,-0.51,6,5,BKR,SuperTrend+RSI
284.0,33,75.8,25,8,17.19,18.21,58.34,-56.05,1.95,0.94,56.05,5.44,8.61,10,2,BLK,SuperTrend+RSI
-4.66,19,52.6,10,9,2.25,3.02,6.44,-5.2,-0.17,0.75,17.76,-1.45,-0.25,3,3,CARR,SuperTrend+RSI
6.13,30,70.0,21,9,1.71,3.32,4.87,-6.88,0.21,0.52,11.9,1.48,0.2,11,2,BMY,SuperTrend+RSI
-37.38,31,58.1,18,13,0.98,4.23,3.82,-9.46,-0.68,0.23,37.73,-5.24,-1.21,5,2,BRO,SuperTrend+RSI
-11.11,24,66.7,16,8,0.75,2.9,1.86,-7.32,-0.48,0.26,10.48,-3.88,-0.46,5,2,BSX,SuperTrend+RSI
53.06,30,80.0,24,6,3.08,3.49,9.23,-8.56,2.53,0.88,8.56,10.36,1.77,13,2,BR,SuperTrend+RSI
12.56,29,75.9,22,7,0.9,1.04,1.9,-1.92,1.73,0.87,1.92,5.97,0.43,6,1,CAG,SuperTrend+RSI
10.34,39,61.5,24,15,2.52,3.34,7.69,-15.18,0.21,0.75,15.55,0.64,0.27,4,2,BX,SuperTrend+RSI
55.86,37,70.3,26,11,3.58,3.37,32.88,-6.95,1.51,1.06,7.44,3.79,1.51,9,3,CAH,SuperTrend+RSI
-14.47,26,53.8,14,12,3.49,5.28,14.63,-16.83,-0.23,0.66,26.95,-1.41,-0.56,6,7,BXP,SuperTrend+RSI
19.44,39,71.8,28,11,1.71,2.58,5.53,-9.66,0.68,0.66,9.75,2.01,0.5,8,3,C,SuperTrend+RSI
82.07,37,67.6,25,12,7.49,8.77,25.87,-36.1,0.78,0.85,38.24,3.66,2.22,5,4,CAT,SuperTrend+RSI
162.63,13,84.6,11,2,18.3,19.36,59.0,-35.87,4.2,0.95,35.87,9.48,12.51,11,1,CEG,SuperTrend+RSI
43.99,33,69.7,23,10,4.63,6.26,14.77,-19.45,0.7,0.74,29.23,4.64,1.33,15,3,CB,SuperTrend+RSI
-1.4,21,71.4,15,6,2.7,6.98,5.28,-12.7,-0.03,0.39,22.53,-1.29,-0.07,6,2,CBOE,SuperTrend+RSI
33.37,33,66.7,22,11,2.55,2.08,7.83,-6.62,1.46,1.23,8.11,3.05,1.01,6,2,CBRE,SuperTrend+RSI
20.69,40,75.0,30,10,1.34,1.96,2.84,-6.64,1.06,0.69,6.64,4.8,0.52,10,2,CCL,SuperTrend+RSI
-20.25,36,69.4,25,11,2.75,8.09,8.03,-27.74,-0.23,0.34,53.16,-0.96,-0.56,9,3,CCI,SuperTrend+RSI
-110.57,41,63.4,26,15,4.74,15.58,17.98,-40.88,-0.47,0.3,123.8,-1.68,-2.7,8,3,CDNS,SuperTrend+RSI
26.7,37,78.4,29,8,3.16,8.11,11.34,-15.25,0.41,0.39,15.25,3.52,0.72,9,2,CDW,SuperTrend+RSI
-8.46,37,67.6,25,12,2.47,5.84,10.23,-16.68,-0.12,0.42,34.01,0.25,-0.23,10,4,CF,SuperTrend+RSI
13.32,32,75.0,24,8,2.03,4.42,5.11,-11.55,0.38,0.46,18.49,1.72,0.42,5,2,CHD,SuperTrend+RSI
22.67,28,78.6,22,6,1.31,1.04,3.49,-3.98,3.63,1.26,3.98,8.73,0.81,7,2,CFG,SuperTrend+RSI
-0.78,31,67.7,21,10,1.99,4.26,4.95,-14.72,-0.02,0.47,31.58,0.3,-0.03,6,3,CHRW,SuperTrend+RSI
-128.65,31,61.3,19,12,11.04,28.2,26.18,-64.56,-0.38,0.39,190.84,-1.64,-4.15,5,4,CHTR,SuperTrend+RSI
-175.05,35,42.9,15,20,8.55,15.17,36.32,-63.9,-0.58,0.56,175.56,-3.92,-5.0,4,5,CI,SuperTrend+RSI
17.27,30,80.0,24,6,2.72,8.0,7.4,-23.87,0.36,0.34,27.72,1.19,0.58,7,3,CINF,SuperTrend+RSI
2.62,34,64.7,22,12,1.88,3.22,4.48,-11.48,0.07,0.58,14.46,0.55,0.08,5,2,CL,SuperTrend+RSI
125.9,17,76.5,13,4,16.62,22.53,69.93,-40.47,1.4,0.74,48.96,4.7,7.41,8,1,COIN,SuperTrend+RSI
-0.36,31,61.3,19,12,4.2,6.69,13.46,-16.06,-0.0,0.63,23.08,-0.01,-0.01,3,2,CLX,SuperTrend+RSI
16.86,26,76.9,20,5,1.15,1.23,4.74,-2.48,2.73,0.93,6.17,6.46,0.65,11,5,CMCSA,SuperTrend+RSI
5.14,34,73.5,25,9,4.07,10.74,12.27,-51.32,0.05,0.38,68.83,0.79,0.15,10,4,CME,SuperTrend+RSI
9.39,43,69.8,30,13,0.86,1.26,6.0,-5.73,0.57,0.68,5.73,1.69,0.22,9,2,CMG,SuperTrend+RSI
-27.36,31,64.5,20,11,7.69,16.47,15.79,-78.35,-0.15,0.47,78.35,2.17,-0.88,7,2,CMI,SuperTrend+RSI
-8.25,29,69.0,20,9,1.82,4.95,4.55,-13.61,-0.19,0.37,33.95,-0.64,-0.28,5,2,CNC,SuperTrend+RSI
-4.0,31,61.3,19,12,1.13,2.13,2.88,-9.46,-0.16,0.53,11.4,-0.91,-0.13,7,2,CMS,SuperTrend+RSI
-2.36,32,62.5,20,11,0.53,1.18,1.63,-2.66,-0.18,0.45,7.79,-0.82,-0.07,4,4,CNP,SuperTrend+RSI
56.9,39,64.1,25,14,4.14,3.33,11.74,-9.76,1.22,1.24,10.82,4.04,1.46,7,3,COF,SuperTrend+RSI
12.35,27,74.1,20,7,2.0,3.94,5.01,-8.26,0.45,0.51,8.27,2.22,0.46,10,2,COO,SuperTrend+RSI
13.03,22,77.3,17,4,2.57,7.66,8.02,-11.87,0.42,0.34,11.87,1.37,0.59,8,1,CRWD,SuperTrend+RSI
18.33,41,65.9,27,14,3.21,4.89,10.74,-13.35,0.27,0.66,35.0,2.47,0.45,7,3,COP,SuperTrend+RSI
203.02,30,86.7,26,4,9.7,12.31,43.39,-20.71,4.12,0.79,20.71,8.22,6.77,8,1,COST,SuperTrend+RSI
29.8,36,66.7,24,12,3.94,5.4,14.31,-19.95,0.46,0.73,19.97,2.69,0.83,8,3,COR,SuperTrend+RSI
-12.79,38,68.4,26,12,4.83,11.54,16.13,-32.8,-0.09,0.42,75.9,-0.61,-0.34,8,2,CPAY,SuperTrend+RSI
-0.49,33,66.7,22,11,1.15,2.34,2.76,-4.8,-0.02,0.49,10.16,-0.72,-0.01,9,3,CPB,SuperTrend+RSI
43.25,33,72.7,24,9,6.47,12.44,20.05,-28.14,0.39,0.52,43.93,2.03,1.31,6,2,CRM,SuperTrend+RSI
-23.42,30,66.7,20,10,1.66,5.67,6.89,-12.65,-0.41,0.29,33.85,-2.29,-0.78,4,2,CPT,SuperTrend+RSI
12.03,33,78.8,26,7,0.64,0.67,4.06,-2.05,2.55,0.96,3.68,5.0,0.36,10,2,CPRT,SuperTrend+RSI
54.54,35,71.4,25,9,7.15,13.81,24.57,-24.59,0.44,0.52,29.24,3.1,1.56,6,2,CRL,SuperTrend+RSI
4.88,40,60.0,24,14,1.64,2.47,3.63,-4.54,0.14,0.67,15.76,0.79,0.12,6,4,CSCO,SuperTrend+RSI
32.94,12,66.7,8,4,8.58,8.93,16.48,-25.96,0.92,0.96,28.95,5.25,2.74,5,2,DASH,SuperTrend+RSI
-11.76,33,60.6,20,13,2.37,4.54,8.15,-14.53,-0.2,0.52,28.9,-1.22,-0.36,6,4,CSGP,SuperTrend+RSI
3.98,21,76.2,16,5,1.35,3.53,3.81,-7.72,0.23,0.38,9.98,2.11,0.19,4,1,CTVA,SuperTrend+RSI
8.87,35,74.3,26,9,0.64,0.87,2.39,-2.03,1.14,0.74,4.85,5.4,0.25,7,2,CSX,SuperTrend+RSI
23.71,38,78.9,30,8,1.99,4.5,10.54,-15.1,0.66,0.44,15.21,3.08,0.62,8,1,CTAS,SuperTrend+RSI
27.53,35,65.7,23,12,2.31,2.13,8.2,-4.84,1.07,1.08,8.55,4.74,0.79,5,2,CTSH,SuperTrend+RSI
-29.89,44,61.4,27,17,2.07,5.04,4.59,-11.44,-0.35,0.41,36.78,-2.14,-0.68,7,3,CVS,SuperTrend+RSI
46.24,31,71.0,22,9,4.14,4.97,14.52,-14.85,1.03,0.83,17.49,4.51,1.49,8,2,CVX,SuperTrend+RSI
-27.58,37,51.4,19,18,1.29,2.89,5.91,-17.72,-0.53,0.45,31.68,-2.98,-0.75,6,5,D,SuperTrend+RSI
10.82,38,78.9,30,8,1.23,3.24,5.4,-6.32,0.42,0.38,9.33,1.2,0.28,9,2,DAL,SuperTrend+RSI
16.71,35,71.4,25,10,2.08,3.52,9.7,-8.34,0.47,0.59,18.91,2.78,0.48,7,2,CZR,SuperTrend+RSI
15.53,18,66.7,12,6,6.45,10.31,11.79,-20.88,0.25,0.63,29.08,1.45,0.86,6,2,DDOG,SuperTrend+RSI
-9.0,31,64.5,20,11,1.89,4.25,5.59,-9.43,-0.19,0.44,11.61,-0.74,-0.29,9,3,DD,SuperTrend+RSI
4.34,28,78.6,22,6,0.75,2.03,2.0,-4.33,0.36,0.37,8.62,2.33,0.16,15,2,DELL,SuperTrend+RSI
29.78,33,81.8,27,6,1.83,3.25,8.89,-7.98,1.53,0.56,11.75,5.36,0.9,9,1,DECK,SuperTrend+RSI
29.26,42,61.9,26,15,11.14,17.35,50.9,-52.17,0.11,0.64,95.26,1.67,0.7,8,4,DE,SuperTrend+RSI
12.15,32,71.9,23,9,4.44,9.99,15.06,-24.28,0.14,0.44,50.51,1.93,0.38,12,4,DG,SuperTrend+RSI
10.0,35,77.1,27,8,2.73,7.98,6.31,-15.75,0.16,0.34,21.28,2.17,0.29,11,2,DGX,SuperTrend+RSI
38.51,35,74.3,26,9,3.72,6.48,12.53,-16.2,0.66,0.57,16.2,3.24,1.1,6,1,DHI,SuperTrend+RSI
-69.51,37,45.9,17,20,5.67,8.29,16.73,-22.48,-0.42,0.68,99.61,-3.72,-1.88,4,5,DHR,SuperTrend+RSI
-18.82,31,71.0,22,9,2.59,8.42,8.7,-14.76,-0.25,0.31,37.02,-0.87,-0.61,5,2,DIS,SuperTrend+RSI
-32.26,36,58.3,21,15,3.93,7.65,13.15,-27.08,-0.28,0.51,54.73,-0.87,-0.9,7,5,DLR,SuperTrend+RSI
22.7,23,69.6,16,7,3.03,3.68,7.21,-9.63,0.88,0.82,9.63,4.41,0.99,4,2,DLTR,SuperTrend+RSI
-3.7,29,65.5,19,10,0.58,1.48,1.94,-4.9,-0.25,0.39,6.14,-1.68,-0.13,5,3,DOC,SuperTrend+RSI
-6.51,24,54.2,13,11,1.42,2.27,2.36,-4.77,-0.26,0.63,15.7,-2.94,-0.27,4,5,DOW,SuperTrend+RSI
91.41,36,88.9,32,4,3.32,3.71,9.53,-9.78,6.16,0.89,9.78,11.02,2.54,11,1,DOV,SuperTrend+RSI
10.51,34,58.8,20,14,9.48,12.79,81.56,-45.47,0.06,0.74,65.68,0.56,0.31,4,2,DPZ,SuperTrend+RSI
38.35,34,73.5,25,9,4.13,7.21,18.43,-13.93,0.59,0.57,32.38,3.69,1.13,7,2,DRI,SuperTrend+RSI
9.02,30,70.0,21,9,1.74,3.05,4.59,-11.09,0.33,0.57,17.79,2.38,0.3,7,2,DTE,SuperTrend+RSI
-23.63,33,66.7,22,11,1.35,4.86,4.34,-21.17,-0.44,0.28,34.5,-2.62,-0.72,6,2,DUK,SuperTrend+RSI
26.66,40,67.5,27,13,1.9,1.89,6.71,-3.91,1.09,1.0,12.89,3.09,0.67,9,2,DVN,SuperTrend+RSI
-17.23,36,52.8,19,16,3.01,4.66,9.42,-18.9,-0.23,0.65,26.97,-1.77,-0.48,6,3,DVA,SuperTrend+RSI
62.8,29,86.2,25,4,3.1,3.67,11.42,-8.07,4.28,0.84,8.07,9.41,2.17,10,1,DXCM,SuperTrend+RSI
17.25,34,76.5,26,8,1.65,3.21,4.4,-8.11,0.67,0.51,9.93,1.56,0.51,14,1,EBAY,SuperTrend+RSI
-81.9,37,59.5,22,15,3.29,10.29,11.85,-39.28,-0.53,0.32,137.23,-3.79,-2.21,8,6,ECL,SuperTrend+RSI
-2.18,32,65.6,21,11,1.93,3.89,4.84,-15.42,-0.05,0.5,20.38,-0.33,-0.07,7,2,ED,SuperTrend+RSI
69.08,33,75.8,25,8,6.49,11.65,18.22,-27.4,0.74,0.56,42.85,2.77,2.09,9,4,EFX,SuperTrend+RSI
1.9,33,66.7,22,11,7.06,13.95,24.82,-34.49,0.01,0.51,110.9,2.13,0.06,6,5,EG,SuperTrend+RSI
9.8,32,68.8,22,10,1.71,2.79,4.77,-6.26,0.35,0.61,6.26,2.21,0.31,6,2,EIX,SuperTrend+RSI
118.81,37,75.7,28,9,6.81,7.99,44.92,-25.5,1.65,0.85,28.25,5.78,3.21,6,1,EL,SuperTrend+RSI
-146.57,38,55.3,21,17,9.7,20.6,35.57,-72.38,-0.42,0.47,173.29,-2.39,-3.86,4,3,ELV,SuperTrend+RSI
-7.2,39,51.3,20,19,2.99,3.52,7.66,-10.1,-0.11,0.85,20.77,-0.59,-0.18,4,4,EMN,SuperTrend+RSI
17.91,39,71.8,28,11,2.5,4.75,7.59,-11.46,0.34,0.53,19.49,2.69,0.46,7,2,EMR,SuperTrend+RSI
31.46,39,69.2,27,12,4.12,6.65,12.08,-15.72,0.39,0.62,32.67,3.18,0.81,10,3,EOG,SuperTrend+RSI
-34.01,33,69.7,23,10,7.36,20.34,55.35,-54.39,-0.17,0.36,90.15,1.79,-1.03,10,3,ENPH,SuperTrend+RSI
104.43,39,71.8,28,11,8.28,11.58,37.31,-34.46,0.82,0.71,38.48,1.29,2.68,6,2,EPAM,SuperTrend+RSI
-292.92,29,62.1,18,11,15.39,51.82,41.27,-103.06,-0.51,0.3,355.48,-2.58,-10.1,5,3,EQIX,SuperTrend+RSI
4.91,35,68.6,24,11,1.31,2.42,3.31,-5.9,0.18,0.54,9.02,3.67,0.14,7,2,EQT,SuperTrend+RSI
21.91,22,77.3,17,5,6.28,16.98,32.03,-30.85,0.26,0.37,65.56,4.37,1.0,8,2,ERIE,SuperTrend+RSI
-20.41,28,53.6,15,13,1.94,3.81,5.95,-15.92,-0.41,0.51,28.72,-2.55,-0.73,2,2,ES,SuperTrend+RSI
5.44,16,81.2,13,3,2.71,9.94,8.17,-13.73,0.18,0.27,19.6,2.41,0.34,6,1,EXE,SuperTrend+RSI
14.85,30,60.0,18,12,6.96,9.2,22.57,-23.6,0.13,0.76,54.46,0.85,0.49,5,3,ESS,SuperTrend+RSI
81.88,29,93.1,27,2,4.86,24.66,18.06,-45.75,1.66,0.2,45.75,11.17,2.82,23,1,ETN,SuperTrend+RSI
2.32,40,67.5,27,13,1.16,2.24,3.78,-8.37,0.08,0.52,11.28,-0.42,0.06,6,3,ETR,SuperTrend+RSI
-28.16,33,51.5,17,16,1.02,2.84,2.4,-10.73,-0.62,0.36,35.44,-4.71,-0.85,7,6,EVRG,SuperTrend+RSI
5.89,28,82.1,23,5,1.42,5.35,3.59,-8.42,0.22,0.27,20.44,3.23,0.21,15,1,EW,SuperTrend+RSI
-7.63,30,53.3,16,13,0.52,1.22,1.58,-3.3,-0.48,0.42,7.79,-3.1,-0.25,5,3,EXC,SuperTrend+RSI
28.43,34,79.4,27,7,2.02,3.74,13.64,-7.07,1.08,0.54,7.07,3.72,0.84,10,2,EXPD,SuperTrend+RSI
49.93,32,78.1,25,7,5.37,12.06,18.59,-37.7,0.59,0.45,49.45,3.48,1.56,14,2,EXPE,SuperTrend+RSI
77.89,37,81.1,30,7,3.58,4.2,11.02,-11.59,2.65,0.85,11.59,6.91,2.11,10,2,EXR,SuperTrend+RSI
2.25,38,68.4,26,12,0.44,0.77,0.97,-1.73,0.24,0.57,3.14,2.23,0.06,8,2,F,SuperTrend+RSI
73.47,38,73.7,28,10,5.89,9.15,14.0,-20.63,0.8,0.64,28.92,5.04,1.93,8,2,FANG,SuperTrend+RSI
10.61,33,66.7,22,11,0.78,0.6,2.36,-1.6,1.6,1.3,2.36,3.69,0.32,6,3,FAST,SuperTrend+RSI
-1.54,35,65.7,23,11,1.26,2.77,4.39,-9.64,-0.05,0.45,18.39,2.69,-0.04,6,4,FCX,SuperTrend+RSI
191.81,29,79.3,23,6,9.41,4.1,31.95,-8.79,7.8,2.3,8.79,9.91,6.61,11,1,FDS,SuperTrend+RSI
-0.45,13,61.5,8,5,0.97,1.64,2.12,-4.1,-0.06,0.59,7.48,-0.99,-0.03,3,2,FOX,SuperTrend+RSI
-37.16,33,63.6,21,12,4.45,10.89,13.77,-35.08,-0.28,0.41,55.84,-1.34,-1.13,4,2,FDX,SuperTrend+RSI
-18.77,43,48.8,21,22,0.56,1.39,1.73,-9.98,-0.61,0.41,18.99,-3.72,-0.44,8,4,FE,SuperTrend+RSI
8.45,15,80.0,12,3,1.43,2.91,4.24,-4.27,0.97,0.49,7.81,2.34,0.56,6,2,FOXA,SuperTrend+RSI
49.67,31,71.0,22,9,4.81,6.24,10.28,-16.04,0.88,0.77,31.73,3.77,1.6,9,2,FFIV,SuperTrend+RSI
-235.3,34,67.6,23,11,14.3,51.28,81.86,-282.79,-0.42,0.28,487.22,-0.01,-6.92,8,2,FICO,SuperTrend+RSI
-3.49,38,65.8,25,13,2.23,4.56,7.8,-17.07,-0.06,0.49,31.79,0.8,-0.09,5,2,FIS,SuperTrend+RSI
-1.57,32,68.8,22,10,0.98,2.31,3.7,-3.99,-0.07,0.42,8.92,0.18,-0.05,5,2,FITB,SuperTrend+RSI
208.18,7,71.4,5,2,57.65,40.04,93.89,-77.27,2.6,1.44,77.27,8.15,29.74,4,1,GEV,SuperTrend+RSI
-5.04,10,70.0,7,3,1.78,5.83,2.89,-6.66,-0.29,0.31,11.75,-2.38,-0.5,4,2,GEHC,SuperTrend+RSI
-5.71,31,64.5,20,11,2.28,4.66,6.45,-17.79,-0.11,0.49,17.79,-0.79,-0.18,6,4,FRT,SuperTrend+RSI
4.7,34,70.6,24,10,1.33,2.71,2.78,-4.28,0.17,0.49,12.27,1.31,0.14,7,2,FTV,SuperTrend+RSI
80.23,32,68.8,22,10,6.36,5.96,49.74,-39.93,1.35,1.07,39.93,4.38,2.51,9,2,FSLR,SuperTrend+RSI
7.25,33,78.8,26,7,1.23,3.55,4.29,-10.6,0.29,0.35,11.72,3.44,0.22,6,1,FTNT,SuperTrend+RSI
34.32,37,67.6,25,12,4.12,5.72,11.85,-18.05,0.5,0.72,18.05,3.04,0.93,4,2,GD,SuperTrend+RSI
25.33,32,68.8,22,10,2.05,1.98,8.32,-7.24,1.28,1.04,9.81,6.01,0.79,7,2,GDDY,SuperTrend+RSI
19.04,35,68.6,24,10,4.21,8.2,13.32,-31.77,0.23,0.51,36.75,1.63,0.54,7,3,GE,SuperTrend+RSI
