ticker,entry_date,exit_date,entry_price,entry_rsi,exit_price,exit_rsi,profit,profit_pct,days_held,exit_reason
ADI,2019-09-12,2019-09-13,116.21,65.7,116.52,81.0,0.31,0.27,1,RSI OB
ADI,2020-02-12,2020-02-20,118.81,46.9,124.55,71.2,5.74,4.83,8,RSI OB
ADI,2020-10-08,2020-10-22,120.34,61.0,124.75,74.7,4.41,3.66,14,RSI OB
ADI,2020-11-05,2020-11-09,130.4,63.3,135.82,71.1,5.42,4.16,4,RSI OB
ADI,2021-02-12,2021-02-19,160.78,59.2,163.8,73.8,3.02,1.88,7,RSI OB
ADI,2021-04-05,2021-05-03,163.49,65.6,151.32,38.6,-12.17,-7.44,28,SuperTrend
ADI,2021-05-24,2021-05-28,162.51,63.0,164.6,71.3,2.09,1.29,4,RSI OB
ADI,2021-08-04,2021-08-06,172.58,66.8,171.13,73.6,-1.45,-0.84,2,RSI OB
ADI,2021-09-14,2021-09-15,173.47,65.1,174.08,71.1,0.61,0.35,1,RSI OB
ADI,2021-10-19,2021-10-21,176.63,64.9,178.81,71.3,2.18,1.23,2,RSI OB
ADI,2021-11-05,2021-11-16,184.18,67.1,187.67,83.8,3.49,1.89,11,RSI OB
ADI,2022-03-24,2022-03-25,164.96,57.2,165.63,70.8,0.67,0.41,1,RSI OB
ADI,2022-07-15,2022-07-20,157.97,64.6,163.12,72.8,5.15,3.26,5,RSI OB
ADI,2022-11-10,2022-11-15,160.37,63.1,165.17,71.9,4.8,2.99,5,RSI OB
ADI,2023-02-01,2023-02-07,176.59,62.6,181.02,74.6,4.43,2.51,6,RSI OB
ADI,2023-05-17,2023-05-24,187.96,67.4,173.2,41.2,-14.76,-7.85,7,SuperTrend
ADI,2023-06-12,2023-06-14,187.66,45.9,191.89,79.1,4.23,2.25,2,RSI OB
ADI,2023-11-07,2023-11-14,168.11,45.2,177.58,75.2,9.47,5.63,7,RSI OB
ADI,2024-01-22,2024-02-13,197.31,48.1,184.69,28.6,-12.62,-6.4,22,SuperTrend
ADI,2024-03-07,2024-04-19,198.24,65.1,183.36,35.3,-14.88,-7.51,43,SuperTrend
ADI,2024-04-26,2024-05-09,201.97,55.0,204.79,75.8,2.82,1.4,13,RSI OB
ADI,2025-01-22,2025-02-03,224.08,64.1,205.24,42.4,-18.84,-8.41,12,SuperTrend
ADI,2025-02-18,2025-02-19,220.22,64.2,241.66,77.0,21.44,9.74,1,RSI OB
ADI,2025-04-09,2025-05-01,196.63,45.5,193.74,72.8,-2.89,-1.47,22,RSI OB
ADI,2025-08-13,2025-08-20,237.63,66.8,244.87,73.1,7.24,3.05,7,RSI OB
ADI,2025-11-25,2025-11-28,252.02,61.8,265.34,75.0,13.32,5.29,3,RSI OB
ADI,2026-06-03,2026-07-02,437.67,51.9,377.16,39.7,-60.51,-13.83,29,SuperTrend
ADM,2015-04-06,2015-04-15,48.33,66.6,48.4,70.8,0.07,0.14,9,RSI OB
ADM,2015-10-07,2015-10-12,44.31,50.4,45.44,72.0,1.13,2.55,5,RSI OB
ADM,2015-12-23,2016-01-08,36.68,57.5,34.39,50.8,-2.29,-6.24,16,SuperTrend
ADM,2016-01-28,2016-03-03,34.7,50.9,36.83,81.9,2.13,6.14,35,RSI OB
ADM,2016-04-18,2016-04-22,37.71,57.0,39.62,73.1,1.91,5.06,4,RSI OB
ADM,2016-05-23,2016-05-25,40.44,59.1,42.48,76.3,2.04,5.04,2,RSI OB
ADM,2016-06-30,2016-07-18,42.89,49.3,44.25,81.9,1.36,3.17,18,RSI OB
ADM,2016-10-28,2016-10-31,43.59,54.3,43.57,71.7,-0.02,-0.05,3,RSI OB
ADM,2016-12-07,2016-12-08,45.2,67.2,45.97,74.1,0.77,1.7,1,RSI OB
ADM,2017-12-01,2017-12-06,40.83,61.5,41.22,78.5,0.39,0.96,5,RSI OB
ADM,2018-03-12,2018-04-12,44.53,65.3,45.3,76.7,0.77,1.73,31,RSI OB
ADM,2018-06-15,2018-06-18,46.03,64.2,46.19,76.0,0.16,0.35,3,RSI OB
ADM,2019-04-29,2019-05-13,43.27,51.5,40.69,40.0,-2.58,-5.96,14,SuperTrend
ADM,2019-06-12,2019-06-17,40.72,58.0,40.74,75.7,0.02,0.05,5,RSI OB
ADM,2019-09-09,2019-09-10,39.67,67.7,40.29,79.8,0.62,1.56,1,RSI OB
ADM,2020-01-30,2020-02-24,45.8,62.8,42.82,31.4,-2.98,-6.51,25,SuperTrend
ADM,2020-05-27,2020-06-02,39.0,68.9,39.67,74.5,0.67,1.72,6,RSI OB
ADM,2020-07-15,2020-07-28,40.9,59.5,42.59,74.8,1.69,4.13,13,RSI OB
ADM,2020-10-07,2020-10-13,48.31,53.3,48.83,74.8,0.52,1.08,6,RSI OB
ADM,2021-02-11,2021-02-17,54.92,59.4,55.92,86.7,1.0,1.82,6,RSI OB
ADM,2021-09-15,2021-09-22,62.52,62.5,58.99,47.0,-3.53,-5.65,7,SuperTrend
ADM,2022-10-21,2022-10-27,89.69,66.3,94.13,70.1,4.44,4.95,6,RSI OB
ADM,2023-04-11,2023-04-13,81.39,65.1,81.22,80.2,-0.17,-0.21,2,RSI OB
ADM,2023-06-16,2023-07-11,75.48,60.5,80.47,83.6,4.99,6.61,25,RSI OB
ADM,2023-12-01,2023-12-20,75.08,66.3,70.68,40.8,-4.4,-5.86,19,SuperTrend
ADM,2024-07-08,2024-07-16,63.38,68.6,64.56,71.1,1.18,1.86,8,RSI OB
ADM,2025-03-10,2025-03-21,50.61,69.8,46.1,48.0,-4.51,-8.91,11,SuperTrend
ADM,2025-04-21,2025-04-25,48.09,50.3,48.25,73.2,0.16,0.33,4,RSI OB
ADM,2026-01-06,2026-01-13,60.49,51.7,63.38,73.7,2.89,4.78,7,RSI OB
ADM,2026-09-02,2026-09-11,85.38,64.4,86.72,70.3,1.34,1.57,9,RSI OB
ADP,2015-05-08,2015-06-04,87.35,64.2,84.08,18.4,-3.27,-3.74,27,SuperTrend
ADP,2015-07-29,2015-08-19,82.34,59.6,84.47,73.7,2.13,2.59,21,RSI OB
ADP,2016-02-16,2016-03-01,83.78,63.0,86.77,72.2,2.99,3.57,14,RSI OB
ADP,2016-06-20,2016-06-27,89.04,59.5,85.66,44.1,-3.38,-3.8,7,SuperTrend
ADP,2016-06-30,2016-07-08,91.87,65.7,94.47,70.8,2.6,2.83,8,RSI OB
ADP,2017-11-30,2017-12-06,114.46,63.5,115.92,79.8,1.46,1.28,6,RSI OB
ADP,2018-08-10,2018-08-17,139.29,54.5,142.55,81.3,3.26,2.34,7,RSI OB
ADP,2018-11-07,2018-12-14,148.3,57.7,134.82,38.3,-13.48,-9.09,37,SuperTrend
ADP,2019-06-07,2019-06-21,166.92,60.7,168.16,77.9,1.24,0.74,14,RSI OB
ADP,2019-09-05,2019-09-10,173.27,66.1,164.33,44.0,-8.94,-5.16,5,SuperTrend
